trial	type	block	visual_target	motor_target	rt	onset	duration	made_errors
1	R	1	2	2	0.528176	2.023567	0.826550	0
2	R	1	3	3	0.373541	2.874203	0.825835	0
3	R	1	1	1	0.347976	3.723741	0.826408	0
4	R	1	4	4	0.313918	4.573825	0.826205	0
5	R	1	3	3	0.327848	5.423895	0.826145	0
6	R	1	2	2	0.308964	6.274778	0.825399	0
7	R	1	4	4	0.306695	7.125048	0.825018	0
8	R	1	1	1	0.273048	7.974695	0.825415	0
9	R	1	2	2	0.343209	8.824534	0.825493	0
10	R	1	1	1	0.316657	9.675086	0.825009	0
11	R	1	3	3	0.330998	10.524745	0.825319	0
12	R	1	4	4	0.265029	11.374714	0.825352	0
13	R	1	1	1	0.286568	12.225177	0.824945	0
14	R	1	2	2	0.324494	13.075248	0.824821	0
15	R	1	4	4	0.314406	13.925338	0.824837	0
16	R	1	3	3	0.319395	14.776314	0.823687	0
17	R	1	4	4	0.301114	15.626627	0.823520	0
18	R	1	3	3	0.291869	16.475871	0.824167	0
19	R	1	1	1	0.297010	17.326732	0.823384	0
20	R	1	2	2	0.286827	18.176915	0.823233	0
21	R	1	4	4	0.285416	19.026328	0.823691	0
22	R	1	1	1	0.290661	19.877052	0.823124	0
23	R	1	3	3	0.352371	20.727372	0.822772	0
24	R	1	2	2	0.382380	21.577354	0.822655	0
1	T	2	3	4	0.610386	36.429372	0.820696	0
2	T	2	4	1	0.408444	37.279299	0.820839	0
3	T	2	2	3	0.413788	38.129955	0.820087	0
4	T	2	1	2	0.444062	38.979680	0.820373	0
5	T	2	2	3	0.369495	39.830248	0.819861	0
6	T	2	4	1	0.335779	40.679964	0.820101	0
7	T	2	1	2	0.382297	41.529445	0.820734	0
8	T	2	3	4	0.323494	42.380248	0.819764	0
9	T	2	1	2	0.369584	43.214142	0.835991	0
10	T	2	4	1	0.447702	44.064029	0.836065	0
11	T	2	3	4	0.365863	44.913860	0.836241	0
12	T	2	2	3	0.371655	45.764086	0.835948	0
13	T	2	1	2	0.313751	46.613991	0.836093	0
14	T	2	2	3	0.367612	47.464095	0.836006	0
15	T	2	4	1	0.325679	48.314029	0.836154	0
16	T	2	3	4	0.347613	49.164096	0.835990	0
17	T	2	2	3	0.369596	50.014121	0.835903	0
18	T	2	1	2	0.318603	50.865140	0.834899	0
19	T	2	3	4	0.460333	51.715381	0.834787	0
20	T	2	4	1	0.578332	52.565410	0.834683	0
21	T	2	2	3	0.360270	53.415438	0.834736	0
22	T	2	3	4	0.382172	54.265571	0.834561	0
23	T	2	4	1	0.372363	55.115356	0.834678	0
24	T	2	1	2	0.394471	55.965272	0.834896	0
25	T	2	3	4	0.400225	56.815515	0.834660	0
26	T	2	4	1	0.422234	57.665515	0.834500	0
27	T	2	1	2	0.363401	58.516371	0.833726	0
28	T	2	2	3	0.409281	59.366459	0.833713	1
29	T	2	1	2	0.000000	60.216863	0.833193	1
30	T	2	3	4	0.373191	61.066553	0.833548	0
31	T	2	4	1	0.474985	61.916755	0.833254	0
32	T	2	2	3	0.000000	62.766086	0.833915	1
33	T	2	4	1	0.000000	63.616398	0.833746	1
34	T	2	1	2	0.533195	64.466543	0.833560	1
35	T	2	2	3	0.000000	65.316553	0.833573	1
36	T	2	3	4	0.375989	66.167754	0.832303	0
37	T	2	1	2	0.000000	67.017461	0.832602	1
38	T	2	3	4	0.492067	67.867674	0.832364	0
39	T	2	2	3	0.546431	68.717309	0.832871	0
40	T	2	4	1	0.543905	69.567839	0.832334	0
41	T	2	3	4	0.437992	70.417730	0.832322	0
42	T	2	2	3	0.804174	71.267563	0.832611	1
43	T	2	1	2	0.457176	72.118538	0.831504	0
44	T	2	4	1	0.527157	72.968583	0.831433	0
45	T	2	3	4	0.437079	73.818663	0.831450	0
46	T	2	2	3	0.507065	74.668677	0.831417	0
47	T	2	1	2	0.368768	75.518974	0.831217	0
48	T	2	4	1	0.446803	76.368939	0.831148	0
49	T	2	3	4	0.420286	77.219457	0.830554	0
50	T	2	1	2	0.554881	78.068862	0.831282	0
51	T	2	4	1	0.472728	78.919015	0.831096	0
52	T	2	2	3	0.398101	79.769609	0.830455	0
