event	type	value	time
0	start	start	42856.180507
1	cue	R	0.011417
2	R	2	2.011024
3	removal	2	2.610276
4	R	3	2.860242
5	removal	3	3.460205
6	R	1	3.709943
7	removal	1	4.309470
8	R	4	4.559567
9	removal	4	5.159801
10	R	3	5.409890
11	removal	3	6.009321
12	R	2	6.259527
13	removal	2	6.858732
14	R	4	7.109314
15	removal	4	7.708721
16	R	1	7.958558
17	removal	1	8.558214
18	R	2	8.808165
19	removal	2	9.407656
20	R	1	9.658290
21	removal	1	10.257936
22	R	3	10.507798
23	removal	3	11.107598
24	R	4	11.357539
25	removal	4	11.957623
26	R	1	12.206895
27	removal	1	12.807390
28	R	2	13.056918
29	removal	2	13.656622
30	R	4	13.906735
31	removal	4	14.506483
32	R	3	14.756398
33	removal	3	15.356343
34	R	4	15.606083
35	removal	4	16.205447
36	R	3	16.456095
37	removal	3	17.055331
38	R	1	17.305559
39	removal	1	17.905111
40	R	2	18.154887
41	removal	2	18.754617
42	R	4	19.005188
43	removal	4	19.604951
44	R	1	19.854920
45	removal	1	20.454715
46	R	3	20.704643
47	removal	3	21.304365
48	R	2	21.554483
49	removal	2	22.154310
50	rest	+	22.420168
51	cue	T	34.416400
52	T	3	36.416065
53	removal	3	37.015809
54	T	4	37.265096
55	removal	4	37.864694
56	T	2	38.115224
57	removal	2	38.715095
58	T	1	38.964855
59	removal	1	39.564701
60	T	2	39.814843
61	removal	2	40.414758
62	T	4	40.664418
63	removal	4	41.264408
64	T	1	41.514131
65	removal	1	42.113651
66	T	3	42.363360
67	removal	3	42.963971
68	T	1	43.213870
69	removal	1	43.813669
70	T	4	44.062656
71	removal	4	44.663022
72	T	3	44.912862
73	removal	3	45.512242
74	T	2	45.763028
75	removal	2	46.362504
76	T	1	46.612305
77	removal	1	47.211791
78	T	2	47.462443
79	removal	2	48.061724
80	T	4	48.311859
81	removal	4	48.911387
82	T	3	49.161900
83	removal	3	49.761136
84	T	2	50.010917
85	removal	2	50.611427
86	T	1	50.860927
87	removal	1	51.460972
88	T	3	51.710642
89	removal	3	52.310337
90	T	4	52.560621
91	removal	4	53.160205
92	T	2	53.410046
93	removal	2	54.009202
94	T	3	54.259228
95	removal	3	54.859508
96	T	4	55.109736
97	removal	4	55.709082
98	T	1	55.958570
99	removal	1	56.558722
100	T	3	56.808707
101	removal	3	57.408085
102	T	4	57.658961
103	removal	4	58.258441
104	T	1	58.508382
105	removal	1	59.108138
106	T	2	59.357981
107	removal	2	59.958045
108	T	1	60.207821
109	removal	1	60.807119
110	T	3	61.056887
111	removal	3	61.657285
112	T	4	61.906644
113	removal	4	62.506602
114	T	2	62.756584
115	removal	2	63.356428
116	T	4	63.606649
117	removal	4	64.206565
118	T	1	64.456241
119	removal	1	65.055797
120	T	2	65.305690
121	removal	2	65.905777
122	T	3	66.156020
123	removal	3	66.755229
124	T	1	67.005676
125	removal	1	67.605472
126	T	3	67.855458
127	removal	3	68.454783
128	T	2	68.704376
129	removal	2	69.305100
130	T	4	69.554962
131	removal	4	70.154198
132	T	3	70.404650
133	removal	3	71.004520
134	T	2	71.254223
135	removal	2	71.854036
136	T	1	72.103967
137	removal	1	72.703668
138	T	4	72.953685
139	removal	4	73.552886
140	T	3	73.803398
141	removal	3	74.403094
142	T	2	74.669689
143	removal	2	75.269506
144	T	1	75.519494
145	removal	1	76.118588
146	T	4	76.368499
147	removal	4	76.968901
148	T	3	77.218780
149	removal	3	77.818500
150	T	1	78.068282
151	removal	1	78.668000
152	T	4	78.918319
153	removal	4	79.517898
154	T	2	79.768016
155	removal	2	80.367528
156	T	3	80.617090
157	removal	3	81.217540
158	T	2	81.467493
159	removal	2	82.066605
160	T	1	82.316933
161	removal	1	82.916942
162	T	4	83.166494
163	removal	4	83.766276
164	T	2	84.016724
165	removal	2	84.616540
166	T	1	84.866236
167	removal	1	85.465991
168	T	4	85.715893
169	removal	4	86.315751
170	T	3	86.565466
171	removal	3	87.165104
172	T	4	87.415113
173	removal	4	88.015069
174	T	2	88.264868
175	removal	2	88.864745
176	T	3	89.114308
177	removal	3	89.714259
178	T	1	89.964639
179	removal	1	90.564281
180	T	3	90.814125
181	removal	3	91.413893
182	T	2	91.663962
183	removal	2	92.263190
184	T	4	92.513040
185	removal	4	93.113633
186	T	1	93.363486
187	removal	1	93.963185
188	T	3	94.213192
189	removal	3	94.812478
190	T	2	95.063054
191	removal	2	95.662437
192	T	1	95.912579
193	removal	1	96.512486
194	T	4	96.762362
195	removal	4	97.362107
196	rest	+	97.611427
197	cue	R	109.607297
198	R	4	111.607533
199	removal	4	112.206956
200	R	1	112.457257
201	removal	1	113.056725
202	R	3	113.307044
203	removal	3	113.906803
204	R	2	114.155837
205	removal	2	114.756076
206	R	1	115.005748
207	removal	1	115.606211
208	R	4	115.856220
209	removal	4	116.455693
210	R	2	116.705117
211	removal	2	117.305075
212	R	3	117.555674
213	removal	3	118.155393
214	R	1	118.405246
215	removal	1	119.004870
216	R	2	119.254745
217	removal	2	119.854604
218	R	4	120.104671
219	removal	4	120.704472
220	R	3	120.970895
221	removal	3	121.553692
222	R	4	121.803780
223	removal	4	122.403882
224	R	3	122.653857
225	removal	3	123.253158
226	R	1	123.503048
227	removal	1	124.103365
228	R	2	124.369287
229	removal	2	124.953138
230	R	1	125.219339
231	removal	1	125.819518
232	R	2	126.069074
233	removal	2	126.668816
234	R	4	126.918853
235	removal	4	127.518586
236	R	3	127.768852
237	removal	3	128.368761
238	R	1	128.618545
239	removal	1	129.218114
240	R	4	129.467552
241	removal	4	130.067686
242	R	2	130.317566
243	removal	2	130.917435
244	R	3	131.167597
245	removal	3	131.767190
246	rest	+	132.017120
247	cue	S	144.012926
248	S	1	146.012418
249	removal	1	146.612649
250	S	3	146.862137
251	removal	3	147.462140
252	S	4	147.712268
253	removal	4	148.311278
254	S	2	148.561213
