event	type	value	time
0	start	start	69393.773260
1	cue	R	0.023407
2	R	2	2.023567
0	key	2@	69396.325003
3	removal	2	2.623955
4	R	3	2.874203
0	key	9(	69397.021004
5	removal	3	3.474556
6	R	1	3.723741
0	key	1!	69397.844978
7	removal	1	4.324634
8	R	4	4.573825
0	key	0)	69398.661003
9	removal	4	5.173845
10	R	3	5.423895
0	key	9(	69399.525004
11	removal	3	6.024034
12	R	2	6.274778
0	key	2@	69400.357002
13	removal	2	6.874850
14	R	4	7.125048
0	key	0)	69401.205003
15	removal	4	7.724773
16	R	1	7.974695
0	key	1!	69402.021003
17	removal	1	8.575149
18	R	2	8.824534
0	key	2@	69402.941003
19	removal	2	9.425195
20	R	1	9.675086
0	key	1!	69403.765003
21	removal	1	10.274689
22	R	3	10.524745
0	key	9(	69404.629003
23	removal	3	11.124954
24	R	4	11.374714
0	key	0)	69405.413003
25	removal	4	11.975642
26	R	1	12.225177
0	key	1!	69406.285005
27	removal	1	12.825012
28	R	2	13.075248
0	key	2@	69407.173003
29	removal	2	13.675787
30	R	4	13.925338
0	key	0)	69408.013005
31	removal	4	14.525712
32	R	3	14.776314
0	key	9(	69408.868970
33	removal	3	15.375992
34	R	4	15.626627
0	key	0)	69409.701002
35	removal	4	16.225942
36	R	3	16.475871
0	key	9(	69410.541000
37	removal	3	17.075995
38	R	1	17.326732
0	key	1!	69411.397002
39	removal	1	17.925849
40	R	2	18.176915
0	key	2@	69412.237003
41	removal	2	18.777037
42	R	4	19.026328
0	key	0)	69413.085005
43	removal	4	19.626091
44	R	1	19.877052
0	key	1!	69413.940973
45	removal	1	20.477275
46	R	3	20.727372
0	key	9(	69414.853003
47	removal	3	21.327174
48	R	2	21.577354
0	key	2@	69415.732995
49	removal	2	22.176769
50	rest	+	22.426802
51	cue	T	34.429579
52	T	3	36.429372
53	removal	3	37.029933
0	key	0)	69430.813019
54	T	4	37.279299
0	key	1!	69431.461003
55	removal	4	37.879027
56	T	2	38.129955
0	key	9(	69432.317003
57	removal	2	38.729037
58	T	1	38.979680
0	key	2@	69433.197003
59	removal	1	39.579847
60	T	2	39.830248
0	key	9(	69433.973003
61	removal	2	40.430081
62	T	4	40.679964
0	key	1!	69434.789003
63	removal	4	41.279793
64	T	1	41.529445
0	key	2@	69435.685002
65	removal	1	42.129978
66	T	3	42.380248
0	key	0)	69436.477003
67	removal	3	42.963967
68	T	1	43.214142
0	key	2@	69437.356986
69	removal	1	43.814161
70	T	4	44.064029
0	key	1!	69438.284991
71	removal	4	44.664077
72	T	3	44.913860
0	key	0)	69439.052984
73	removal	3	45.514015
74	T	2	45.764086
0	key	9(	69439.909001
75	removal	2	46.364069
76	T	1	46.613991
0	key	2@	69440.701003
77	removal	1	47.214066
78	T	2	47.464095
0	key	9(	69441.604968
79	removal	2	48.063800
80	T	4	48.314029
0	key	1!	69442.412969
81	removal	4	48.913947
82	T	3	49.164096
0	key	0)	69443.284969
83	removal	3	49.763934
84	T	2	50.014121
0	key	9(	69444.156977
85	removal	2	50.615276
86	T	1	50.865140
0	key	2@	69444.957003
87	removal	1	51.465142
88	T	3	51.715381
0	key	0)	69445.948974
89	removal	3	52.314419
90	T	4	52.565410
0	key	1!	69446.917002
91	removal	4	53.165594
92	T	2	53.415438
0	key	9(	69447.548968
93	removal	2	54.015350
94	T	3	54.265571
0	key	0)	69448.421003
95	removal	3	54.865266
96	T	4	55.115356
0	key	1!	69449.260979
97	removal	4	55.715153
98	T	1	55.965272
0	key	2@	69450.133003
99	removal	1	56.565286
100	T	3	56.815515
0	key	0)	69450.989001
101	removal	3	57.415151
102	T	4	57.665515
0	key	1!	69451.861009
103	removal	4	58.266457
104	T	1	58.516371
0	key	2@	69452.653032
105	removal	1	59.116096
106	T	2	59.366459
0	key	0)	69453.453002
0	key	9(	69453.549000
107	removal	2	59.966397
108	T	1	60.216863
0	key	1!	69454.357002
109	removal	1	60.816605
110	T	3	61.066553
0	key	0)	69455.213004
111	removal	3	61.666527
112	T	4	61.916755
0	key	1!	69456.165001
113	removal	4	62.516440
114	T	2	62.766086
0	key	2@	69456.965005
115	removal	2	63.366086
116	T	4	63.616398
117	removal	4	64.216341
118	T	1	64.466543
0	key	1!	69458.365003
0	key	2@	69458.772998
119	removal	1	65.067330
120	T	2	65.316553
0	key	0)	69459.429000
121	removal	2	65.917429
122	T	3	66.167754
0	key	0)	69460.317003
123	removal	3	66.767751
124	T	1	67.017461
0	key	1!	69461.365004
125	removal	1	67.617687
126	T	3	67.867674
0	key	0)	69462.133001
127	removal	3	68.467627
128	T	2	68.717309
0	key	9(	69463.037000
129	removal	2	69.317635
130	T	4	69.567839
0	key	1!	69463.885004
131	removal	4	70.167374
132	T	3	70.417730
0	key	0)	69464.628983
133	removal	3	71.017281
134	T	2	71.267563
0	key	2@	69465.621003
135	removal	2	71.867580
0	key	9(	69465.844998
136	T	1	72.118538
0	key	2@	69466.348974
137	removal	1	72.718680
138	T	4	72.968583
0	key	1!	69467.269001
139	removal	4	73.568595
140	T	3	73.818663
0	key	0)	69468.029002
141	removal	3	74.418085
142	T	2	74.668677
0	key	9(	69468.949002
143	removal	2	75.268135
144	T	1	75.518974
0	key	2@	69469.661002
145	removal	1	76.118680
146	T	4	76.368939
0	key	1!	69470.589002
147	removal	4	76.968356
148	T	3	77.219457
0	key	0)	69471.413003
149	removal	3	77.819584
150	T	1	78.068862
0	key	2@	69472.397004
151	removal	1	78.669469
152	T	4	78.919015
0	key	1!	69473.165003
153	removal	4	79.519289
154	T	2	79.769609
0	key	9(	69473.940970
155	removal	2	80.368858
156	T	3	80.619636
0	key	0)	69474.845002
157	removal	3	81.219866
158	T	2	81.469553
0	key	9(	69475.733006
159	removal	2	82.069757
160	T	1	82.319645
0	key	2@	69476.573004
161	removal	1	82.919769
162	T	4	83.170155
0	key	1!	69477.325003
163	removal	4	83.769623
164	T	2	84.019818
0	key	9(	69478.285024
165	removal	2	84.619900
166	T	1	84.869542
0	key	2@	69479.173003
167	removal	1	85.469616
168	T	4	85.720021
0	key	1!	69479.916981
169	removal	4	86.320623
170	T	3	86.569868
0	key	0)	69480.741003
171	removal	3	87.170792
172	T	4	87.420904
0	key	1!	69481.645004
173	removal	4	88.020744
174	T	2	88.270939
0	key	9(	69482.485003
175	removal	2	88.870908
176	T	3	89.120733
0	key	0)	69483.300990
177	removal	3	89.721053
178	T	1	89.970672
0	key	2@	69484.188972
179	removal	1	90.570776
180	T	3	90.820451
0	key	0)	69484.989011
181	removal	3	91.421017
182	T	2	91.671074
0	key	9(	69485.869003
183	removal	2	92.270946
184	T	4	92.520961
0	key	1!	69486.677009
185	removal	4	93.120829
186	T	1	93.370884
0	key	2@	69487.597003
187	removal	1	93.971033
188	T	3	94.221021
0	key	0)	69488.373003
189	removal	3	94.822010
190	T	2	95.071881
0	key	9(	69489.269004
191	removal	2	95.671843
192	T	1	95.921800
0	key	1!	69490.085003
193	removal	1	96.522204
194	T	4	96.771570
195	removal	4	97.372129
0	key	1!	69491.293002
196	rest	+	97.621580
197	cue	R	109.624145
198	R	4	111.624157
0	key	0)	69505.955376
199	removal	4	112.224026
200	R	1	112.474121
0	key	1!	69506.587376
201	removal	1	113.073813
202	R	3	113.324808
0	key	9(	69507.403377
203	removal	3	113.924626
204	R	2	114.174695
0	key	2@	69508.355376
205	removal	2	114.774720
206	R	1	115.024682
0	key	1!	69509.091384
207	removal	1	115.625146
208	R	4	115.875036
0	key	0)	69509.947379
209	removal	4	116.475278
210	R	2	116.724447
0	key	2@	69510.899375
211	removal	2	117.325013
212	R	3	117.574851
0	key	9(	69511.659377
213	removal	3	118.174895
214	R	1	118.425619
0	key	1!	69512.499380
215	removal	1	119.025147
216	R	2	119.274906
0	key	2@	69513.363381
217	removal	2	119.875068
218	R	4	120.125876
0	key	0)	69514.179381
219	removal	4	120.725832
220	R	3	120.975101
0	key	9(	69515.051377
221	removal	3	121.575967
222	R	4	121.825598
0	key	0)	69515.963376
223	removal	4	122.425556
224	R	3	122.675597
0	key	9(	69516.771379
225	removal	3	123.275901
226	R	1	123.526006
0	key	1!	69517.595380
227	removal	1	124.126159
228	R	2	124.375911
0	key	2@	69518.467378
229	removal	2	124.975973
230	R	1	125.225779
0	key	1!	69519.347370
231	removal	1	125.826703
232	R	2	126.076644
0	key	2@	69520.163378
233	removal	2	126.676945
234	R	4	126.926847
0	key	0)	69520.963377
235	removal	4	127.526532
236	R	3	127.776570
0	key	9(	69521.843377
237	removal	3	128.376855
238	R	1	128.626324
0	key	1!	69522.699378
239	removal	1	129.226318
240	R	4	129.476761
0	key	0)	69523.651376
241	removal	4	130.077339
242	R	2	130.326920
0	key	1!	69524.395350
243	removal	2	130.927261
244	R	3	131.176499
0	key	9(	69525.419379
245	removal	3	131.776768
246	rest	+	132.026622
247	cue	S	144.029150
248	S	1	146.029192
249	removal	1	146.629680
0	key	1!	69540.404288
250	S	3	146.880186
0	key	9(	69540.932262
251	removal	3	147.480213
252	S	4	147.730201
0	key	0)	69541.780253
253	removal	4	148.329919
254	S	2	148.580307
255	removal	2	149.179804
0	key	2@	69542.964252
256	S	1	149.429857
0	key	1!	69543.508253
257	removal	1	150.030601
258	S	2	150.279770
0	key	2@	69544.452221
259	removal	2	150.863941
260	S	3	151.129765
0	key	9(	69545.204253
261	removal	3	151.713970
262	S	1	151.963904
0	key	1!	69546.044223
263	removal	1	152.563930
264	S	4	152.814036
0	key	0)	69546.908253
265	removal	4	153.413954
266	S	3	153.664151
0	key	9(	69547.748255
267	removal	3	154.263980
268	S	2	154.513805
0	key	2@	69548.604259
269	removal	2	155.113925
270	S	4	155.363708
0	key	0)	69549.420260
271	removal	4	155.964051
272	S	1	156.213926
0	key	1!	69550.276258
273	removal	1	156.813951
274	S	3	157.063881
0	key	9(	69551.116257
275	removal	3	157.665054
276	S	4	157.913972
0	key	0)	69552.020261
