event	type	value	time
0	start	start	66262.498969
1	cue	R	0.018712
2	R	2	2.018505
0	key	2@	66265.002630
3	removal	2	2.618718
4	R	3	2.868487
0	key	9(	66265.698641
5	removal	3	3.468101
6	R	1	3.718924
0	key	1!	66266.522639
7	removal	1	4.318951
8	R	4	4.568806
0	key	0)	66267.426640
9	removal	4	5.169392
10	R	3	5.418816
0	key	9(	66268.258641
11	removal	3	6.018904
12	R	2	6.268724
0	key	2@	66269.042648
13	removal	2	6.869384
14	R	4	7.118816
0	key	0)	66269.906641
15	removal	4	7.719856
16	R	1	7.969244
0	key	1!	66270.986599
17	removal	1	8.569895
18	R	2	8.819317
0	key	2@	66271.658624
19	removal	2	9.419832
20	R	1	9.669872
0	key	1!	66272.434640
21	removal	1	10.269625
22	R	3	10.520084
0	key	9(	66273.290639
23	removal	3	11.120374
24	R	4	11.370053
0	key	0)	66274.130637
25	removal	4	11.970531
26	R	1	12.219762
0	key	1!	66275.050649
27	removal	1	12.820689
28	R	2	13.069720
0	key	2@	66275.858639
29	removal	2	13.669654
30	R	4	13.920037
0	key	0)	66276.762614
31	removal	4	14.520633
32	R	3	14.770175
0	key	9(	66277.610638
33	removal	3	15.370943
34	R	4	15.620758
0	key	0)	66278.418640
35	removal	4	16.221079
36	R	3	16.470746
0	key	9(	66279.322642
37	removal	3	17.070824
38	R	1	17.320957
0	key	1!	66280.082639
39	removal	1	17.920860
40	R	2	18.171398
0	key	2@	66280.994638
41	removal	2	18.770592
42	R	4	19.021458
0	key	0)	66281.834641
43	removal	4	19.620882
44	R	1	19.871056
0	key	1!	66282.626639
45	removal	1	20.471027
46	R	3	20.720850
0	key	9(	66283.482625
47	removal	3	21.321580
48	R	2	21.571024
0	key	2@	66284.362604
49	removal	2	22.171712
50	rest	+	22.422182
51	cue	T	34.424040
52	T	3	36.424171
53	removal	3	37.023939
0	key	0)	66299.522689
54	T	4	37.273361
0	key	1!	66300.282640
55	removal	4	37.874366
56	T	2	38.124099
0	key	9(	66300.986639
57	removal	2	38.724193
58	T	1	38.974386
0	key	2@	66301.826611
59	removal	1	39.574502
60	T	2	39.824542
0	key	9(	66302.762641
61	removal	2	40.424473
62	T	4	40.674345
0	key	1!	66303.738652
63	removal	4	41.274600
64	T	1	41.525107
0	key	2@	66304.386641
65	removal	1	42.124363
66	T	3	42.374958
0	key	0)	66305.330609
67	removal	3	42.974956
68	T	1	43.224809
0	key	2@	66306.090640
69	removal	1	43.825331
70	T	4	44.075044
0	key	9(	66306.970640
71	removal	4	44.674482
0	key	1!	66307.298639
72	T	3	44.924917
0	key	0)	66307.930641
73	removal	3	45.525367
74	T	2	45.775198
0	key	9(	66308.794638
75	removal	2	46.375191
76	T	1	46.624980
0	key	2@	66309.514638
77	removal	1	47.224980
78	T	2	47.475075
0	key	9(	66310.418612
79	removal	2	48.075910
80	T	4	48.326239
0	key	1!	66311.290655
81	removal	4	48.925707
82	T	3	49.175444
0	key	0)	66312.146643
83	removal	3	49.775369
84	T	2	50.026179
0	key	9(	66312.938640
85	removal	2	50.625907
86	T	1	50.876320
0	key	2@	66313.898640
87	removal	1	51.476032
88	T	3	51.726369
0	key	0)	66314.634606
89	removal	3	52.326801
90	T	4	52.576485
0	key	1!	66315.538639
91	removal	4	53.176602
92	T	2	53.426702
0	key	9(	66316.274640
93	removal	2	54.026106
94	T	3	54.276662
0	key	0)	66317.154640
95	removal	3	54.877072
96	T	4	55.127086
0	key	1!	66318.130608
97	removal	4	55.727015
98	T	1	55.976692
0	key	2@	66318.866640
99	removal	1	56.576661
100	T	3	56.826827
0	key	0)	66319.722640
101	removal	3	57.426966
102	T	4	57.676591
0	key	1!	66320.666639
103	removal	4	58.277077
104	T	1	58.526747
0	key	2@	66321.458640
105	removal	1	59.126733
106	T	2	59.377735
0	key	9(	66322.250640
107	removal	2	59.976880
108	T	1	60.227672
0	key	1!	66323.042640
0	key	2@	66323.266636
109	removal	1	60.828121
110	T	3	61.077158
0	key	0)	66324.066626
111	removal	3	61.677964
112	T	4	61.927984
113	removal	4	62.527888
0	key	1!	66325.042606
114	T	2	62.777878
0	key	9(	66325.786640
115	removal	2	63.377457
116	T	4	63.628040
0	key	1!	66326.682641
117	removal	4	64.227680
118	T	1	64.478245
0	key	2@	66327.426646
119	removal	1	65.078085
120	T	2	65.327636
0	key	9(	66328.274642
121	removal	2	65.928391
122	T	3	66.177911
0	key	0)	66329.082642
123	removal	3	66.777929
124	T	1	67.027997
0	key	2@	66329.970637
125	removal	1	67.628618
