event	type	value	time
0	start	start	67414.245850
1	cue	R	0.027640
2	R	2	2.027622
3	removal	2	2.627734
0	key	2@	67417.037548
4	R	3	2.877995
0	key	9(	67417.685543
5	removal	3	3.478626
6	R	1	3.728651
0	key	1!	67418.421599
7	removal	1	4.327886
8	R	4	4.578684
0	key	0)	67419.261548
9	removal	4	5.177972
10	R	3	5.428796
0	key	9(	67420.029546
11	removal	3	6.028127
12	R	2	6.279206
0	key	2@	67420.901547
13	removal	2	6.878980
14	R	4	7.128440
0	key	0)	67421.821556
15	removal	4	7.729317
16	R	1	7.979333
0	key	1!	67422.565546
17	removal	1	8.578864
18	R	2	8.829181
0	key	2@	67423.405545
19	removal	2	9.428836
20	R	1	9.679617
0	key	1!	67424.389520
21	removal	1	10.279071
22	R	3	10.529739
0	key	9(	67425.189548
23	removal	3	11.129386
24	R	4	11.379255
0	key	0)	67426.045548
25	removal	4	11.979776
26	R	1	12.229481
0	key	1!	67426.829545
27	removal	1	12.829502
28	R	2	13.079101
0	key	2@	67427.677555
29	removal	2	13.679673
30	R	4	13.929789
0	key	0)	67428.589557
31	removal	4	14.530230
32	R	3	14.779772
0	key	9(	67429.341546
33	removal	3	15.379987
34	R	4	15.630335
0	key	0)	67430.221513
35	removal	4	16.229928
36	R	3	16.479624
0	key	9(	67431.069549
37	removal	3	17.063315
38	R	1	17.313309
0	key	1!	67431.917556
39	removal	1	17.913394
40	R	2	18.163269
0	key	2@	67432.717512
41	removal	2	18.763365
42	R	4	19.013295
0	key	0)	67433.605546
43	removal	4	19.613353
44	R	1	19.863434
0	key	1!	67434.477545
45	removal	1	20.463204
46	R	3	20.713561
0	key	9(	67435.381520
47	removal	3	21.313437
48	R	2	21.563340
0	key	2@	67436.141545
49	removal	2	22.163291
50	rest	+	22.430789
51	cue	T	34.416660
52	T	3	36.416779
0	key	0)	67451.228929
53	removal	3	37.017196
54	T	4	37.266683
55	removal	4	37.866282
0	key	1!	67452.188932
56	T	2	38.116219
57	removal	2	38.716610
0	key	9(	67452.980906
58	T	1	38.966394
0	key	2@	67453.772896
59	removal	1	39.566937
60	T	2	39.817650
61	removal	2	40.417658
0	key	9(	67454.740932
62	T	4	40.666515
63	removal	4	41.267261
0	key	1!	67455.501021
64	T	1	41.517691
0	key	2@	67456.300929
65	removal	1	42.117939
66	T	3	42.367740
0	key	0)	67457.116931
67	removal	3	42.967305
68	T	1	43.217698
0	key	2@	67458.020930
69	removal	1	43.817827
70	T	4	44.067561
71	removal	4	44.667469
0	key	1!	67458.996931
72	T	3	44.918079
73	removal	3	45.518519
0	key	0)	67459.764964
74	T	2	45.767766
75	removal	2	46.368356
0	key	9(	67460.628933
76	T	1	46.617957
77	removal	1	47.217592
0	key	2@	67461.588930
78	T	2	47.467852
0	key	9(	67462.180921
79	removal	2	48.068805
80	T	4	48.318853
0	key	1!	67463.100979
81	removal	4	48.918365
82	T	3	49.168983
83	removal	3	49.768111
0	key	0)	67464.156932
84	T	2	50.018845
85	removal	2	50.618324
0	key	9(	67464.868989
86	T	1	50.868855
0	key	2@	67465.492929
87	removal	1	51.469244
88	T	3	51.718493
0	key	1!	67466.036936
89	removal	3	52.318538
90	T	4	52.569582
0	key	0)	67466.892899
91	removal	4	53.168603
0	key	1!	67467.468932
92	T	2	53.418894
93	removal	2	54.019616
0	key	9(	67468.316934
94	T	3	54.268645
0	key	0)	67468.988922
95	removal	3	54.869792
96	T	4	55.119650
97	removal	4	55.719384
0	key	1!	67469.988934
98	T	1	55.970116
99	removal	1	56.569472
0	key	2@	67470.812981
100	T	3	56.820164
101	removal	3	57.419754
0	key	0)	67471.732927
102	T	4	57.669946
0	key	1!	67472.436921
103	removal	4	58.269816
104	T	1	58.520530
0	key	0)	67473.316927
105	removal	1	59.120661
0	key	2@	67473.412917
106	T	2	59.369625
0	key	2@	67473.964917
107	removal	2	59.969686
0	key	0)	67474.444931
108	T	1	60.220590
109	removal	1	60.820333
110	T	3	61.070789
111	removal	3	61.670697
0	key	0)	67475.916936
112	T	4	61.919840
113	removal	4	62.520684
0	key	1!	67476.828931
114	T	2	62.771140
0	key	0)	67477.572901
115	removal	2	63.370834
116	T	4	63.621083
0	key	9(	67477.900932
