trial	type	block	visual_target	motor_target	rt	onset	duration	made_errors
1	R	1	2	2	0.487824	2.015820	0.834274	0
2	R	1	3	3	0.427650	2.868002	0.832148	0
3	R	1	1	1	0.305507	3.718148	0.831987	0
4	R	1	4	4	0.343367	4.568255	0.831904	0
5	R	1	3	3	0.621269	5.418400	0.831659	1
6	R	1	2	2	0.371106	6.268533	0.831595	0
7	R	1	4	4	0.377006	7.118650	0.831353	0
8	R	1	1	1	0.358873	7.968782	0.831255	0
9	R	1	2	2	0.300729	8.818927	0.831261	0
10	R	1	1	1	0.426597	9.669065	0.831000	0
11	R	1	3	3	0.336479	10.519178	0.830956	0
12	R	1	4	4	0.310370	11.369296	0.830755	0
13	R	1	1	1	0.340232	12.219422	0.830673	0
14	R	1	2	2	0.306112	13.069550	0.830615	0
15	R	1	4	4	0.343957	13.919697	0.830370	0
16	R	1	3	3	0.285818	14.769832	0.830248	0
17	R	1	4	4	0.403689	15.619967	0.830120	0
18	R	1	3	3	0.369582	16.470073	0.829941	0
19	R	1	1	1	0.327434	17.320224	0.829934	0
20	R	1	2	2	0.277282	18.170374	0.829654	0
21	R	1	4	4	0.347196	19.020462	0.829594	0
22	R	1	1	1	0.385062	19.870595	0.829481	0
23	R	1	3	3	0.406905	20.720760	0.829267	0
24	R	1	2	2	0.484779	21.570878	0.829294	0
1	T	2	3	4	0.666583	36.421075	0.829094	0
2	T	2	4	1	0.000000	37.273282	0.826725	1
3	T	2	2	3	0.668222	38.123433	0.826709	1
4	T	2	1	2	0.650062	38.973550	0.826480	0
5	T	2	2	3	0.000000	39.823701	0.826335	1
6	T	2	4	1	0.621780	40.673827	0.826255	0
7	T	2	1	2	0.459695	41.523958	0.826106	0
8	T	2	3	4	0.441564	42.374087	0.825983	0
9	T	2	1	2	0.439438	43.224218	0.825808	0
10	T	2	4	1	0.549323	44.074338	0.825722	0
11	T	2	3	4	0.459206	44.924449	0.825716	0
12	T	2	2	3	0.809067	45.774605	0.825404	0
13	T	2	1	2	0.583074	46.624738	0.825306	0
14	T	2	2	3	0.796776	47.474881	0.825151	0
15	T	2	4	1	0.730659	48.324984	0.825140	0
16	T	2	3	4	0.600483	49.175127	0.825032	0
17	T	2	2	3	0.000000	50.025251	0.824843	1
18	T	2	1	2	0.668230	50.875377	0.824628	0
19	T	2	3	4	0.426146	51.725510	0.824506	0
20	T	2	4	1	0.624033	52.575633	0.824473	0
21	T	2	2	3	0.590051	53.425754	0.824347	0
22	T	2	3	4	0.635747	54.275909	0.824103	0
23	T	2	4	1	0.673633	55.126020	0.824043	0
24	T	2	1	2	0.735458	55.976167	0.823974	0
25	T	2	3	4	0.000000	56.826301	0.823743	1
26	T	2	4	1	0.000000	57.676423	0.823778	1
27	T	2	1	2	0.000000	58.526545	0.823499	1
28	T	2	2	3	0.000000	59.376701	0.823437	1
29	T	2	1	2	0.000000	60.226815	0.823222	1
30	T	2	3	4	0.000000	61.076952	0.823100	1
31	T	2	4	1	0.784588	61.927073	0.823004	1
32	T	2	2	3	0.622446	62.777202	0.822963	0
33	T	2	4	1	0.796333	63.627322	0.822761	0
34	T	2	1	2	0.682873	64.460782	0.839379	0
35	T	2	2	3	0.760745	65.310901	0.839263	0
36	T	2	3	4	0.000000	66.161055	0.838999	1
37	T	2	1	2	0.000000	67.011191	0.838862	1
38	T	2	3	4	0.466338	67.861317	0.838857	0
39	T	2	2	3	0.000000	68.711450	0.838636	1
40	T	2	4	1	0.000000	69.561587	0.838472	1
41	T	2	3	4	0.000000	70.411713	0.838347	1
42	T	2	2	3	0.000000	71.261865	0.838136	1
43	T	2	1	2	0.000000	72.111956	0.838082	1
44	T	2	4	1	0.000000	72.962106	0.837961	1
45	T	2	3	4	0.000000	73.812227	0.837900	1
46	T	2	2	3	0.000000	74.662357	0.837661	1
47	T	2	1	2	0.000000	75.512487	0.837629	1
48	T	2	4	1	0.000000	76.362623	0.837510	1
49	T	2	3	4	0.000000	77.212762	0.837393	1
50	T	2	1	2	0.000000	78.062892	0.837259	1
51	T	2	4	1	0.000000	78.913023	0.837123	1
52	T	2	2	3	0.000000	79.763126	0.836877	1
53	T	2	3	4	0.818392	80.613264	0.836749	1
54	T	2	2	3	0.000000	81.463396	0.836775	1
55	T	2	1	2	0.000000	82.313522	0.836491	1
56	T	2	4	1	0.000000	83.163677	0.836328	1
57	T	2	2	3	0.000000	84.013798	0.836272	1
58	T	2	1	2	0.000000	84.863935	0.836115	1
59	T	2	4	1	0.000000	85.714055	0.835996	1
60	T	2	3	4	0.443486	86.564169	0.835921	0
61	T	2	4	1	0.561350	87.414304	0.835785	0
62	T	2	2	3	0.000000	88.264445	0.835677	1
63	T	2	3	4	0.653087	89.114568	0.835611	0
64	T	2	1	2	0.474951	89.964704	0.835451	0
65	T	2	3	4	0.568780	90.814845	0.835208	0
66	T	2	2	3	0.654694	91.664964	0.835136	0
67	T	2	4	1	0.000000	92.515115	0.834956	1
68	T	2	1	2	0.570419	93.365211	0.834899	0
69	T	2	3	4	0.560283	94.215344	0.834717	0
70	T	2	2	3	0.694116	95.065497	0.834611	0
71	T	2	1	2	0.000000	95.915641	0.834361	1
72	T	2	4	1	0.000000	96.765760	0.834359	1
1	R	3	4	4	0.535698	111.615964	0.834164	0
2	R	3	1	1	0.411487	112.468170	0.831952	0
3	R	3	3	3	0.409360	113.318295	0.831761	0
4	R	3	2	2	0.343240	114.168414	0.831642	0
5	R	3	1	1	0.253115	115.018540	0.831529	0
6	R	3	4	4	0.282990	115.868665	0.831341	0
7	R	3	2	2	0.336852	116.718808	0.831282	0
8	R	3	3	3	0.000000	117.568938	0.831142	1
