trial	type	block	visual_target	motor_target	rt	onset	duration	made_errors
1	R	1	2	2	0.583658	2.016246	0.833845	0
2	R	1	3	3	0.347419	2.868479	0.831666	0
3	R	1	1	1	0.257294	3.718605	0.831451	0
4	R	1	4	4	0.319189	4.568737	0.831434	1
5	R	1	3	3	0.317083	5.418882	0.831291	0
6	R	1	2	2	0.282934	6.268998	0.831022	0
7	R	1	4	4	0.272798	7.119131	0.830960	0
8	R	1	1	1	0.302680	7.969255	0.830805	0
9	R	1	2	2	0.284517	8.819383	0.830803	0
10	R	1	1	1	0.306391	9.669511	0.830651	0
11	R	1	3	3	0.272283	10.519646	0.830489	0
12	R	1	4	4	0.262178	11.369754	0.830329	0
13	R	1	1	1	0.380039	12.219891	0.830120	0
14	R	1	2	2	0.305895	13.070035	0.830044	0
15	R	1	4	4	0.287781	13.920152	0.829967	0
16	R	1	3	3	0.285633	14.770295	0.829865	0
17	R	1	4	4	0.291472	15.620430	0.829703	0
18	R	1	3	3	0.345376	16.470554	0.829580	0
19	R	1	1	1	0.415248	17.320680	0.829406	1
20	R	1	2	2	0.333114	18.170806	0.829342	0
21	R	1	4	4	0.266997	19.020935	0.829186	0
22	R	1	1	1	0.296876	19.871056	0.829111	0
23	R	1	3	3	0.270748	20.721182	0.828935	0
24	R	1	2	2	0.276603	21.571330	0.828844	0
1	T	2	3	4	0.642433	36.421509	0.828571	0
2	T	2	4	1	0.486192	37.273739	0.826288	0
3	T	2	2	3	0.356073	38.123859	0.826294	0
4	T	2	1	2	0.393949	38.973981	0.826193	0
5	T	2	2	3	0.351824	39.824113	0.825929	0
6	T	2	4	1	0.389695	40.674236	0.825808	0
7	T	2	1	2	0.267537	41.524396	0.825695	0
8	T	2	3	4	0.361424	42.374504	0.825611	0
9	T	2	1	2	0.351284	43.224647	0.825475	0
10	T	2	4	1	0.501183	44.074749	0.825314	0
11	T	2	3	4	0.435020	44.924883	0.825293	0
12	T	2	2	3	0.472908	45.775015	0.825100	0
13	T	2	1	2	0.350775	46.625161	0.824999	0
14	T	2	2	3	0.396642	47.475289	0.824806	0
15	T	2	4	1	0.354489	48.325432	0.824595	0
16	T	2	3	4	0.464381	49.175550	0.824551	0
17	T	2	2	3	0.446238	50.025692	0.824428	0
18	T	2	1	2	0.000000	50.875812	0.824208	1
19	T	2	3	4	0.409984	51.725946	0.824058	0
20	T	2	4	1	0.527858	52.576074	0.824055	0
21	T	2	2	3	0.525718	53.426214	0.823941	0
22	T	2	3	4	0.435617	54.276314	0.823845	0
23	T	2	4	1	0.585628	55.126444	0.823711	0
24	T	2	1	2	0.399309	55.976605	0.823481	0
25	T	2	3	4	0.381212	56.826718	0.823356	0
26	T	2	4	1	0.475087	57.676843	0.823240	0
27	T	2	1	2	0.464953	58.526980	0.823142	0
