trial	type	block	visual_target	motor_target	rt	onset	duration	made_errors
1	R	1	2	2	0.632559	2.015258	0.834870	0
2	R	1	3	3	0.310559	2.865257	0.834775	0
3	R	1	1	1	0.372199	3.715583	0.834512	0
4	R	1	4	4	0.370105	4.565713	0.834366	0
5	R	1	3	3	0.352150	5.415670	0.834523	0
6	R	1	2	2	0.365824	6.265995	0.834031	0
7	R	1	4	4	0.348252	7.115562	0.834496	0
8	R	1	1	1	0.305540	7.966247	0.833855	0
9	R	1	2	2	0.383978	8.815806	0.834345	0
10	R	1	1	1	0.349953	9.665865	0.834142	0
11	R	1	3	3	0.587524	10.516463	0.833638	0
12	R	1	4	4	0.313969	11.365843	0.834201	0
13	R	1	1	1	0.375058	12.216724	0.833441	0
14	R	1	2	2	0.309690	13.066125	0.834012	0
15	R	1	4	4	0.330851	13.916967	0.833194	0
16	R	1	3	3	0.368542	14.767275	0.832841	0
17	R	1	4	4	0.383307	15.616482	0.833662	0
18	R	1	3	3	0.348714	16.467105	0.832995	0
19	R	1	1	1	0.322662	17.317150	0.833021	0
20	R	1	2	2	0.328126	18.167694	0.832388	0
21	R	1	4	4	0.310128	19.017690	0.832341	0
22	R	1	1	1	0.308094	19.867708	0.832298	0
23	R	1	3	3	0.298186	20.717604	0.832510	0
24	R	1	2	2	0.440265	21.567560	0.832525	0
1	T	2	3	4	0.629639	36.420533	0.829557	0
2	T	2	4	1	0.651986	37.270209	0.829886	0
3	T	2	2	3	0.593774	38.120410	0.829699	0
4	T	2	1	2	0.711911	38.970250	0.829866	0
5	T	2	2	3	0.605656	39.820539	0.829586	0
6	T	2	4	1	0.546994	40.671201	0.828830	0
7	T	2	1	2	0.584987	41.521375	0.828702	0
8	T	2	3	4	0.471205	42.370991	0.829146	0
9	T	2	1	2	0.492745	43.221447	0.828651	0
10	T	2	4	1	0.666704	44.071492	0.828679	0
11	T	2	3	4	0.000000	44.921394	0.828614	1
12	T	2	2	3	0.000000	45.772021	0.828004	1
13	T	2	1	2	0.000000	46.621184	0.828984	1
14	T	2	2	3	0.000000	47.471435	0.828598	1
15	T	2	4	1	0.735736	48.322456	0.827640	1
16	T	2	3	4	0.694453	49.171742	0.828430	0
17	T	2	2	3	0.747804	50.022392	0.827699	0
18	T	2	1	2	0.626054	50.872140	0.827897	0
19	T	2	3	4	0.679189	51.722973	0.827213	0
20	T	2	4	1	0.509459	52.572735	0.827337	0
21	T	2	2	3	0.579067	53.423250	0.826914	0
22	T	2	3	4	0.513028	54.273174	0.826911	0
23	T	2	4	1	0.550682	55.123480	0.826590	0
24	T	2	1	2	0.000000	55.972865	0.827233	1
25	T	2	3	4	0.714917	56.823243	0.826776	0
26	T	2	4	1	0.608823	57.673374	0.826794	0
27	T	2	1	2	0.590533	58.523721	0.826351	0
28	T	2	2	3	0.604348	59.373850	0.826310	0
29	T	2	1	2	0.626065	60.224129	0.826022	0
30	T	2	3	4	0.616407	61.073789	0.826244	0
31	T	2	4	1	0.518371	61.923815	0.826268	0
32	T	2	2	3	0.524086	62.774105	0.825909	0
33	T	2	4	1	0.705625	63.624568	0.825602	0
34	T	2	1	2	0.543354	64.474839	0.825215	0
35	T	2	2	3	0.477378	65.324815	0.825203	0
36	T	2	3	4	0.419304	66.174878	0.825145	0
37	T	2	1	2	0.000000	67.025131	0.825048	1
38	T	2	3	4	0.599605	67.874651	0.825379	1
39	T	2	2	3	0.692766	68.725427	0.824645	0
40	T	2	4	1	0.539009	69.575183	0.824983	0
41	T	2	3	4	0.560713	70.425483	0.824534	0
42	T	2	2	3	0.000000	71.275772	0.824392	1
43	T	2	1	2	0.000000	72.125851	0.824284	1
44	T	2	4	1	0.000000	72.976166	0.823861	1
45	T	2	3	4	0.720200	73.825995	0.824118	1
46	T	2	2	3	0.502569	74.675624	0.824426	0
47	T	2	1	2	0.000000	75.526275	0.823843	1
48	T	2	4	1	0.000000	76.376218	0.823849	1
49	T	2	3	4	0.000000	77.226235	0.823853	1
50	T	2	1	2	0.000000	78.076976	0.823054	1
51	T	2	4	1	0.732164	78.910029	0.840044	0
52	T	2	2	3	0.000000	79.776462	0.823686	1
53	T	2	3	4	0.672112	80.610078	0.840071	1
54	T	2	2	3	0.000000	81.460658	0.839399	1
55	T	2	1	2	0.715292	82.310904	0.839156	0
56	T	2	4	1	0.000000	83.160813	0.839331	1
57	T	2	2	3	0.000000	84.010755	0.839383	1
58	T	2	1	2	0.000000	84.861242	0.838946	1
59	T	2	4	1	0.000000	85.710913	0.839113	1
60	T	2	3	4	0.000000	86.561616	0.838549	1
61	T	2	4	1	0.590535	87.411727	0.838380	0
62	T	2	2	3	0.000000	88.261905	0.838198	1
63	T	2	3	4	0.650381	89.111799	0.838362	1
64	T	2	1	2	0.552845	89.961322	0.838813	0
65	T	2	3	4	0.574095	90.812096	0.837966	0
66	T	2	2	3	0.000000	91.662351	0.837747	1
67	T	2	4	1	0.553953	92.512241	0.837815	0
68	T	2	1	2	0.000000	93.362605	0.837452	1
69	T	2	3	4	0.517583	94.212613	0.837485	0
70	T	2	2	3	0.000000	95.062633	0.837541	1
71	T	2	1	2	0.000000	95.912468	0.837603	1
72	T	2	4	1	0.583209	96.762973	0.837118	1
1	R	3	4	4	0.798348	111.615438	0.834569	0
2	R	3	1	1	0.324725	112.465216	0.834961	0
3	R	3	3	3	0.434215	113.315716	0.834420	0
4	R	3	2	2	0.000000	114.165392	0.834730	1
5	R	3	1	1	0.430318	115.015591	0.834556	0
6	R	3	4	4	0.380641	115.865301	0.834722	0
7	R	3	2	2	0.338126	116.715810	0.834239	0
8	R	3	3	3	0.543515	117.566430	0.833627	0
9	R	3	1	1	0.317724	118.416221	0.833810	0
10	R	3	2	2	0.523268	119.266644	0.833526	0
11	R	3	4	4	0.553180	120.116762	0.833343	0
12	R	3	3	3	0.375366	120.966547	0.833471	0
13	R	3	4	4	0.388895	121.817051	0.833019	0
14	R	3	3	3	0.386828	122.667114	0.833036	0
15	R	3	1	1	0.481190	123.516757	0.833277	0
16	R	3	2	2	0.390824	124.367108	0.833007	0
17	R	3	1	1	0.492882	125.217031	0.833002	0
18	R	3	2	2	0.410435	126.067508	0.832668	0
19	R	3	4	4	0.304667	126.917277	0.832733	0
20	R	3	3	3	0.333983	127.767966	0.832215	0
21	R	3	1	1	0.307894	128.618051	0.831970	0
22	R	3	4	4	0.322171	129.467774	0.832320	0
23	R	3	2	2	0.320101	130.317812	0.832300	0
24	R	3	3	3	0.261550	131.168396	0.831666	0
1	S	4	1	1	0.000000	146.020795	0.829212	1
2	S	4	3	3	0.000000	146.870589	0.829519	1
3	S	4	4	4	0.566517	147.720542	0.829476	0
4	S	4	2	2	0.571967	148.571066	0.828977	0
5	S	4	1	1	0.362193	149.420877	0.829280	0
6	S	4	2	2	0.599928	150.271199	0.828914	0
7	S	4	3	3	0.397817	151.121251	0.828761	0
8	S	4	1	1	0.355297	151.971775	0.828352	0
9	S	4	4	4	0.401131	152.821915	0.828263	0
10	S	4	3	3	0.544052	153.671018	0.829089	0
11	S	4	2	2	0.412995	154.522077	0.827974	0
12	S	4	4	4	0.355690	155.371379	0.828747	0
13	S	4	1	1	0.304741	156.222333	0.827763	0
14	S	4	3	3	0.350738	157.072309	0.827726	0
15	S	4	4	4	0.324530	157.922537	0.827499	0
16	S	4	2	2	0.386874	158.772193	0.827821	0
17	S	4	1	1	0.264857	159.622215	0.827930	0
18	S	4	2	2	0.359043	160.472028	0.827983	0
19	S	4	3	3	0.276756	161.322288	0.827785	0
20	S	4	1	1	0.345933	162.173136	0.826981	0
21	S	4	4	4	0.360161	163.022910	0.827187	0
22	S	4	3	3	0.318075	163.873013	0.827000	0
23	S	4	2	2	0.531703	164.723333	0.826757	0
24	S	4	4	4	0.337568	165.573510	0.826640	0
25	S	4	1	1	0.295554	166.423515	0.826570	0
