event	type	value	time
0	start	start	63221.665095
1	cue	R	0.004914
2	R	2	2.015820
0	key	2@	63224.168740
3	removal	2	2.617971
4	R	3	2.868002
0	key	9(	63224.960748
5	removal	3	3.468110
6	R	1	3.718148
0	key	1!	63225.688751
7	removal	1	4.318233
8	R	4	4.568255
0	key	0)	63226.576717
9	removal	4	5.168364
10	R	3	5.418400
0	key	0)	63227.480702
11	removal	3	6.018474
0	key	9(	63227.704765
12	R	2	6.268533
0	key	2@	63228.304735
13	removal	2	6.868615
14	R	4	7.118650
0	key	0)	63229.160752
15	removal	4	7.718732
16	R	1	7.968782
0	key	1!	63229.992751
17	removal	1	8.568867
18	R	2	8.818927
0	key	2@	63230.784752
19	removal	2	9.419014
20	R	1	9.669065
0	key	1!	63231.760757
21	removal	1	10.269135
22	R	3	10.519178
0	key	9(	63232.520753
23	removal	3	11.119254
24	R	4	11.369296
0	key	0)	63233.344761
25	removal	4	11.969406
26	R	1	12.219422
0	key	1!	63234.224749
27	removal	1	12.819549
28	R	2	13.069550
0	key	2@	63235.040758
29	removal	2	13.669660
30	R	4	13.919697
0	key	0)	63235.928750
31	removal	4	14.519798
32	R	3	14.769832
0	key	9(	63236.720746
33	removal	3	15.369913
34	R	4	15.619967
0	key	0)	63237.688751
35	removal	4	16.220077
36	R	3	16.470073
0	key	9(	63238.504750
37	removal	3	17.070173
38	R	1	17.320224
0	key	1!	63239.312753
39	removal	1	17.920320
40	R	2	18.170374
0	key	2@	63240.112751
41	removal	2	18.770437
42	R	4	19.020462
0	key	0)	63241.032754
43	removal	4	19.620573
44	R	1	19.870595
0	key	1!	63241.920752
45	removal	1	20.470723
46	R	3	20.720760
0	key	9(	63242.792761
47	removal	3	21.320839
48	R	2	21.570878
0	key	2@	63243.720753
49	removal	2	22.170985
50	rest	+	22.421000
51	cue	T	34.420809
52	T	3	36.421075
53	removal	3	37.023248
0	key	0)	63258.752754
54	T	4	37.273282
55	removal	4	37.873384
56	T	2	38.123433
0	key	2@	63259.768900
0	key	1!	63259.944750
57	removal	2	38.723494
0	key	9(	63260.456751
58	T	1	38.973550
59	removal	1	39.573642
0	key	2@	63261.288708
60	T	2	39.823701
0	key	0)	63261.944750
61	removal	2	40.423783
62	T	4	40.673827
63	removal	4	41.273899
0	key	1!	63262.960703
64	T	1	41.523958
0	key	2@	63263.648749
65	removal	1	42.124015
66	T	3	42.374087
0	key	0)	63264.480746
67	removal	3	42.974162
68	T	1	43.224218
0	key	2@	63265.328752
69	removal	1	43.824302
70	T	4	44.074338
0	key	1!	63266.288756
71	removal	4	44.674422
72	T	3	44.924449
0	key	0)	63267.048751
73	removal	3	45.524565
74	T	2	45.774605
75	removal	2	46.374684
0	key	9(	63268.248767
76	T	1	46.624738
77	removal	1	47.224803
0	key	2@	63268.872908
78	T	2	47.474881
79	removal	2	48.074951
0	key	9(	63269.936753
80	T	4	48.324984
81	removal	4	48.925088
0	key	1!	63270.720739
82	T	3	49.175127
83	removal	3	49.775218
0	key	0)	63271.440705
84	T	2	50.025251
0	key	2@	63272.256758
85	removal	2	50.625353
86	T	1	50.875377
87	removal	1	51.475479
0	key	2@	63273.208703
88	T	3	51.725510
0	key	0)	63273.816751
89	removal	3	52.325598
90	T	4	52.575633
91	removal	4	53.175725
0	key	1!	63274.864761
92	T	2	53.425754
93	removal	2	54.025850
0	key	9(	63275.680901
94	T	3	54.275909
95	removal	3	54.875977
0	key	0)	63276.576751
96	T	4	55.126020
97	removal	4	55.726130
0	key	1!	63277.464749
98	T	1	55.976167
99	removal	1	56.576266
0	key	2@	63278.376720
100	T	3	56.826301
101	removal	3	57.426377
102	T	4	57.676423
103	removal	4	58.276523
104	T	1	58.526545
0	key	1!	63280.200763
105	removal	1	59.126658
0	key	9(	63280.952724
106	T	2	59.376701
0	key	2@	63281.576751
107	removal	2	59.976760
108	T	1	60.226815
0	key	0)	63282.016730
109	removal	1	60.826901
110	T	3	61.076952
