event	type	value	time
0	start	start	60704.917054
1	cue	R	0.014997
2	R	2	2.015258
3	removal	2	2.615442
0	key	2@	60707.564870
4	R	3	2.865257
0	key	9(	60708.092869
5	removal	3	3.465111
6	R	1	3.715583
0	key	1!	60709.004835
7	removal	1	4.314923
8	R	4	4.565713
0	key	0)	60709.852871
9	removal	4	5.165645
10	R	3	5.415670
0	key	9(	60710.684874
11	removal	3	6.015957
12	R	2	6.265995
0	key	2@	60711.548873
13	removal	2	6.865822
14	R	4	7.115562
0	key	0)	60712.380868
15	removal	4	7.716155
16	R	1	7.966247
0	key	1!	60713.188840
17	removal	1	8.566089
18	R	2	8.815806
0	key	2@	60714.116838
19	removal	2	9.416105
20	R	1	9.665865
0	key	1!	60714.932872
21	removal	1	10.266552
22	R	3	10.516463
23	removal	3	11.116351
0	key	9(	60716.021041
24	R	4	11.365843
0	key	0)	60716.596866
25	removal	4	11.966820
26	R	1	12.216724
0	key	1!	60717.508835
27	removal	1	12.816483
28	R	2	13.066125
0	key	2@	60718.292869
29	removal	2	13.666491
30	R	4	13.916967
0	key	0)	60719.164872
31	removal	4	14.516885
32	R	3	14.767275
0	key	9(	60720.052870
33	removal	3	15.366941
34	R	4	15.616482
0	key	0)	60720.916843
35	removal	4	16.217250
36	R	3	16.467105
0	key	9(	60721.732873
37	removal	3	17.067367
38	R	1	17.317150
0	key	1!	60722.556865
39	removal	1	17.917335
40	R	2	18.167694
0	key	2@	60723.412874
41	removal	2	18.767400
42	R	4	19.017690
0	key	0)	60724.244872
43	removal	4	19.617832
44	R	1	19.867708
0	key	1!	60725.092855
45	removal	1	20.467992
46	R	3	20.717604
0	key	9(	60725.932843
47	removal	3	21.318127
48	R	2	21.567560
0	key	2@	60726.924878
49	removal	2	22.167909
50	rest	+	22.418214
51	cue	T	34.420330
52	T	3	36.420533
53	removal	3	37.020584
0	key	0)	60741.967225
54	T	4	37.270209
55	removal	4	37.870407
0	key	1!	60742.839248
56	T	2	38.120410
57	removal	2	38.720418
0	key	9(	60743.631238
58	T	1	38.970250
59	removal	1	39.571009
0	key	2@	60744.599215
60	T	2	39.820539
61	removal	2	40.420863
0	key	9(	60745.343248
62	T	4	40.671201
0	key	1!	60746.135249
63	removal	4	41.270817
64	T	1	41.521375
65	removal	1	42.120730
0	key	2@	60747.023416
66	T	3	42.370991
0	key	0)	60747.759250
67	removal	3	42.971493
68	T	1	43.221447
0	key	2@	60748.631246
69	removal	1	43.821221
70	T	4	44.071492
71	removal	4	44.671627
0	key	1!	60749.655249
72	T	3	44.921394
0	key	9(	60750.359247
73	removal	3	45.521941
74	T	2	45.772021
75	removal	2	46.371887
76	T	1	46.621184
0	key	9(	60751.775240
77	removal	1	47.221761
78	T	2	47.471435
0	key	2@	60752.479247
79	removal	2	48.072398
80	T	4	48.322456
0	key	9(	60753.231225
81	removal	4	48.922155
0	key	1!	60753.975245
82	T	3	49.171742
83	removal	3	49.772209
0	key	0)	60754.783249
84	T	2	50.022392
85	removal	2	50.622431
0	key	9(	60755.687249
86	T	1	50.872140
87	removal	1	51.472570
0	key	2@	60756.415247
88	T	3	51.722973
89	removal	3	52.323069
0	key	0)	60757.319216
90	T	4	52.572735
0	key	1!	60757.999247
91	removal	4	53.172657
92	T	2	53.423250
93	removal	2	54.023260
0	key	9(	60758.919370
94	T	3	54.273174
0	key	0)	60759.703256
95	removal	3	54.873214
96	T	4	55.123480
0	key	1!	60760.591216
97	removal	4	55.722689
98	T	1	55.972865
0	key	9(	60761.335247
99	removal	1	56.573493
100	T	3	56.823243
101	removal	3	57.423672
0	key	0)	60762.455214
102	T	4	57.673374
103	removal	4	58.273714
0	key	1!	60763.199251
104	T	1	58.523721
105	removal	1	59.123570
0	key	2@	60764.031307
106	T	2	59.373850
107	removal	2	59.973654
0	key	9(	60764.895251
108	T	1	60.224129
109	removal	1	60.824246
0	key	2@	60765.767247
110	T	3	61.073789
111	removal	3	61.674251
0	key	0)	60766.607249
112	T	4	61.923815
0	key	1!	60767.359239
113	removal	4	62.524200
114	T	2	62.774105
0	key	9(	60768.215244
115	removal	2	63.374482
116	T	4	63.624568
117	removal	4	64.224809
0	key	1!	60769.247248
118	T	1	64.474839
0	key	2@	60769.935247
119	removal	1	65.074254
120	T	2	65.324815
0	key	9(	60770.719247
121	removal	2	65.924825
122	T	3	66.174878
0	key	0)	60771.511235
123	removal	3	66.775056
124	T	1	67.025131
125	removal	1	67.625237
126	T	3	67.874651
0	key	2@	60772.767250
127	removal	3	68.475340
0	key	0)	60773.391310
128	T	2	68.725427
129	removal	2	69.324740
0	key	9(	60774.335246
130	T	4	69.575183
0	key	1!	60775.031246
131	removal	4	70.175644
132	T	3	70.425483
0	key	0)	60775.903250
133	removal	3	71.025660
134	T	2	71.275772
135	removal	2	71.875318
0	key	2@	60776.895245
136	T	1	72.125851
137	removal	1	72.726020
0	key	1!	60777.671248
138	T	4	72.976166
139	removal	4	73.576239
140	T	3	73.825995
0	key	1!	60778.863248
141	removal	3	74.425692
0	key	0)	60779.463248
142	T	2	74.675624
0	key	9(	60780.095246
143	removal	2	75.276453
144	T	1	75.526275
0	key	1!	60780.799247
145	removal	1	76.126342
146	T	4	76.376218
147	removal	4	76.976660
0	key	0)	60781.983259
148	T	3	77.226235
149	removal	3	77.826983
150	T	1	78.076976
0	key	9(	60782.975305
151	removal	1	78.659897
152	T	4	78.910029
153	removal	4	79.509959
0	key	1!	60784.559247
154	T	2	79.776462
155	removal	2	80.359854
156	T	3	80.610078
0	key	9(	60785.599219
157	removal	3	81.210639
0	key	0)	60786.199243
158	T	2	81.460658
159	removal	2	82.060561
0	key	2@	60787.007261
160	T	1	82.310904
161	removal	1	82.910761
0	key	2@	60787.943249
162	T	4	83.160813
0	key	0)	60788.663246
163	removal	4	83.760304
164	T	2	84.010755
165	removal	2	84.611350
166	T	1	84.861242
167	removal	1	85.461226
0	key	0)	60790.503250
168	T	4	85.710913
169	removal	4	86.311469
170	T	3	86.561616
171	removal	3	87.161519
172	T	4	87.411727
173	removal	4	88.011605
0	key	1!	60792.919316
174	T	2	88.261905
175	removal	2	88.861511
176	T	3	89.111799
0	key	9(	60794.039251
177	removal	3	89.712061
0	key	0)	60794.679234
178	T	1	89.961322
0	key	2@	60795.431220
179	removal	1	90.562236
180	T	3	90.812096
0	key	0)	60796.303245
181	removal	3	91.412250
182	T	2	91.662351
0	key	2@	60797.023245
183	removal	2	92.261759
184	T	4	92.512241
0	key	1!	60797.983248
185	removal	4	93.112609
186	T	1	93.362605
0	key	9(	60798.783249
187	removal	1	93.962290
188	T	3	94.212613
0	key	0)	60799.647250
189	removal	3	94.812791
190	T	2	95.062633
191	removal	2	95.662457
0	key	2@	60800.767215
192	T	1	95.912468
193	removal	1	96.512350
194	T	4	96.762973
0	key	2@	60801.703231
0	key	1!	60802.263235
195	removal	4	97.363250
196	rest	+	97.612574
197	cue	R	109.614716
198	R	4	111.615438
199	removal	4	112.215122
0	key	0)	60817.330840
200	R	1	112.465216
0	key	1!	60817.706994
201	removal	1	113.065657
202	R	3	113.315716
0	key	9(	60818.666985
203	removal	3	113.914961
204	R	2	114.165392
205	removal	2	114.765886
0	key	1!	60819.707001
206	R	1	115.015591
0	key	1!	60820.362964
207	removal	1	115.615816
208	R	4	115.865301
0	key	0)	60821.162996
209	removal	4	116.465855
210	R	2	116.715810
0	key	2@	60821.970989
211	removal	2	117.315908
212	R	3	117.566430
0	key	9(	60823.026998
213	removal	3	118.165974
214	R	1	118.416221
0	key	1!	60823.650999
215	removal	1	119.016249
216	R	2	119.266644
0	key	2@	60824.706965
217	removal	2	119.866116
218	R	4	120.116762
0	key	0)	60825.586996
219	removal	4	120.716620
220	R	3	120.966547
0	key	9(	60826.258967
221	removal	3	121.566823
222	R	4	121.817051
0	key	0)	60827.123000
223	removal	4	122.416763
224	R	3	122.667114
0	key	9(	60827.970996
225	removal	3	123.267284
226	R	1	123.516757
0	key	1!	60828.915000
227	removal	1	124.116944
228	R	2	124.367108
0	key	2@	60829.674985
229	removal	2	124.966624
230	R	1	125.217031
0	key	1!	60830.626966
231	removal	1	125.817669
232	R	2	126.067508
0	key	2@	60831.394997
233	removal	2	126.667337
234	R	4	126.917277
0	key	0)	60832.138997
235	removal	4	127.517519
236	R	3	127.767966
0	key	9(	60833.019002
237	removal	3	128.367604
238	R	1	128.618051
0	key	1!	60833.842999
239	removal	1	129.218034
240	R	4	129.467774
0	key	0)	60834.706999
241	removal	4	130.068060
242	R	2	130.317812
0	key	2@	60835.554967
243	removal	2	130.918511
244	R	3	131.168396
0	key	9(	60836.347000
245	removal	3	131.768308
246	rest	+	132.018525
247	cue	S	144.019833
248	S	1	146.020795
249	removal	1	146.620816
0	key	2@	60851.748056
250	S	3	146.870589
251	removal	3	147.470918
252	S	4	147.720542
0	key	0)	60853.204113
253	removal	4	148.321140
254	S	2	148.571066
0	key	2@	60854.060086
255	removal	2	149.171243
256	S	1	149.420877
0	key	1!	60854.700124
257	removal	1	150.021461
258	S	2	150.271199
259	removal	2	150.871140
0	key	2@	60855.788180
260	S	3	151.121251
0	key	9(	60856.436122
261	removal	3	151.721163
262	S	1	151.971775
0	key	1!	60857.244125
263	removal	1	152.571876
264	S	4	152.821915
0	key	0)	60858.140100
265	removal	4	153.421695
266	S	3	153.671018
0	key	9(	60859.132123
267	removal	3	154.271509
268	S	2	154.522077
0	key	2@	60859.852126
269	removal	2	155.121980
270	S	4	155.371379
0	key	0)	60860.644123
271	removal	4	155.971976
272	S	1	156.222333
0	key	1!	60861.444127
273	removal	1	156.821954
274	S	3	157.072309
0	key	9(	60862.340101
275	removal	3	157.671810
276	S	4	157.922537
0	key	0)	60863.164121
277	removal	4	158.522505
278	S	2	158.772193
0	key	2@	60864.076120
279	removal	2	159.372449
280	S	1	159.622215
0	key	1!	60864.804126
281	removal	1	160.222185
282	S	2	160.472028
0	key	2@	60865.748124
283	removal	2	161.072446
284	S	3	161.322288
0	key	9(	60866.516098
285	removal	3	161.923190
286	S	1	162.173136
0	key	1!	60867.436123
287	removal	1	162.772806
288	S	4	163.022910
0	key	0)	60868.300125
289	removal	4	163.623263
290	S	3	163.873013
0	key	9(	60869.108142
291	removal	3	164.473430
292	S	2	164.723333
0	key	2@	60870.172090
293	removal	2	165.323462
294	S	4	165.573510
0	key	0)	60870.828131
295	removal	4	166.173593
296	S	1	166.423515
0	key	1!	60871.636123
297	removal	1	167.023759
298	S	3	167.273723
0	key	9(	60872.516122
299	removal	3	167.874055
300	S	4	168.123990
0	key	0)	60873.388121
301	removal	4	168.723686
302	S	2	168.973356
0	key	2@	60874.380090
303	removal	2	169.574187
304	S	1	169.823906
0	key	1!	60875.044099
305	removal	1	170.423668
306	S	2	170.674223
0	key	2@	60875.948122
307	removal	2	171.273688
308	S	3	171.524600
0	key	9(	60876.756121
309	removal	3	172.123900
310	S	1	172.374381
0	key	1!	60877.604119
311	removal	1	172.974652
312	S	4	173.224726
0	key	0)	60878.372082
313	removal	4	173.824808
314	S	3	174.074762
0	key	9(	60879.484126
315	removal	3	174.675095
316	S	2	174.924888
0	key	2@	60880.252117
317	removal	2	175.524561
318	S	4	175.774409
0	key	0)	60881.084116
319	removal	4	176.374776
320	S	1	176.625083
0	key	1!	60881.796123
321	removal	1	177.225554
322	S	3	177.475156
0	key	9(	60882.684122
323	removal	3	178.075472
324	S	4	178.325719
0	key	0)	60883.580125
325	removal	4	178.925048
326	S	2	179.175821
0	key	2@	60884.380123
327	removal	2	179.775847
328	S	1	180.025649
0	key	1!	60885.148121
329	removal	1	180.625846
330	S	2	180.875636
331	removal	2	181.476036
0	key	2@	60886.388155
332	S	3	181.726104
0	key	9(	60886.948088
333	removal	3	182.326284
334	S	1	182.576122
0	key	1!	60887.852112
335	removal	1	183.176229
336	S	4	183.425641
0	key	0)	60888.620116
337	removal	4	184.026579
338	S	3	184.276075
0	key	9(	60889.516091
339	removal	3	184.876687
340	S	2	185.126775
0	key	2@	60890.332128
341	removal	2	185.726151
342	S	4	185.975978
0	key	0)	60891.212122
343	removal	4	186.560104
344	S	1	186.826736
0	key	1!	60892.044121
345	removal	1	187.409587
346	S	3	187.660040
0	key	9(	60892.868120
347	removal	3	188.260121
348	S	4	188.510161
0	key	0)	60893.748121
349	removal	4	189.110207
350	S	2	189.359969
0	key	2@	60894.540124
351	removal	2	189.960241
352	S	1	190.210017
0	key	1!	60895.340103
353	removal	1	190.810926
354	S	2	191.060391
0	key	2@	60896.380118
355	removal	2	191.661125
356	S	3	191.910342
0	key	9(	60897.108120
357	removal	3	192.510620
358	S	1	192.760881
0	key	1!	60898.052122
359	removal	1	193.360526
360	S	4	193.611448
0	key	0)	60898.732122
361	removal	4	194.210860
362	S	3	194.461576
0	key	9(	60899.652123
363	removal	3	195.061575
364	S	2	195.310710
0	key	2@	60900.516119
365	removal	2	195.911662
366	S	4	196.161776
0	key	0)	60901.436094
367	removal	4	196.761032
368	S	1	197.011812
0	key	1!	60902.148121
369	removal	1	197.611961
370	S	3	197.861756
0	key	9(	60903.060122
371	removal	3	198.462172
372	S	4	198.711219
0	key	0)	60903.892124
373	removal	4	199.312287
374	S	2	199.561343
0	key	2@	60904.748123
375	removal	2	200.162113
376	S	1	200.412284
0	key	1!	60905.524122
377	removal	1	201.012567
378	S	2	201.262382
0	key	2@	60906.700124
379	removal	2	201.862343
380	S	3	202.112524
0	key	9(	60907.284107
381	removal	3	202.712542
382	S	1	202.962829
0	key	1!	60908.252121
383	removal	1	203.562006
384	S	4	203.812925
0	key	0)	60909.012114
385	removal	4	204.412616
386	S	3	204.662754
0	key	9(	60909.900125
387	removal	3	205.263056
388	S	2	205.513159
0	key	2@	60910.700123
389	removal	2	206.112876
390	S	4	206.363298
0	key	0)	60911.572124
391	removal	4	206.962911
392	rest	+	207.213294
0	key	1!	60912.236124
393	cue	R	219.214545
394	R	1	221.215479
0	key	1!	60926.643339
395	removal	1	221.815604
396	R	4	222.065726
0	key	0)	60927.347491
397	removal	4	222.664994
398	R	2	222.915847
0	key	2@	60928.131496
399	removal	2	223.515561
400	R	3	223.765766
0	key	9(	60928.979497
401	removal	3	224.366098
402	R	2	224.615251
0	key	2@	60930.027492
403	removal	2	225.216117
404	R	3	225.465845
0	key	9(	60930.659502
405	removal	3	226.066119
406	R	1	226.316157
0	key	1!	60931.611498
407	removal	1	226.916530
408	R	4	227.166433
0	key	0)	60932.395500
409	removal	4	227.766005
410	R	3	228.016316
0	key	9(	60933.275499
411	removal	3	228.616164
412	R	4	228.865956
0	key	2@	60933.955499
413	removal	4	229.466342
0	key	0)	60934.499499
414	R	2	229.716684
0	key	2@	60935.059495
415	removal	2	230.316983
416	R	1	230.567078
0	key	1!	60935.779498
417	removal	1	231.166981
418	R	2	231.416574
0	key	2@	60936.811463
419	removal	2	232.016612
420	R	1	232.266706
0	key	1!	60937.595499
421	removal	1	232.867052
422	R	3	233.117358
0	key	9(	60938.291496
423	removal	3	233.717326
424	R	4	233.966823
0	key	0)	60939.131471
425	removal	4	234.567210
426	R	2	234.817581
0	key	2@	60940.035496
427	removal	2	235.417253
428	R	1	235.667548
0	key	1!	60940.955499
429	removal	1	236.267399
430	R	3	236.517606
0	key	9(	60941.715499
431	removal	3	237.117493
432	R	4	237.367676
0	key	9(	60942.603498
0	key	0)	60942.691487
433	removal	4	237.967996
434	R	2	238.217728
0	key	2@	60943.467496
435	removal	2	238.818097
436	R	3	239.068283
0	key	9(	60944.531501
437	removal	3	239.667817
438	R	1	239.918176
0	key	1!	60945.187498
439	removal	1	240.518429
440	R	4	240.768657
0	key	9(	60945.971499
441	removal	4	241.368750
442	rest	+	241.618593
443	cue	S	253.620306
444	S	2	255.620646
445	removal	2	256.220654
0	key	2@	60961.131598
446	S	1	256.470778
0	key	1!	60961.747625
447	removal	1	257.070560
448	S	2	257.320721
0	key	2@	60962.619624
449	removal	2	257.920796
450	S	3	258.171204
451	removal	3	258.771205
0	key	9(	60963.707618
452	S	1	259.021125
0	key	1!	60964.331623
453	removal	1	259.621318
454	S	4	259.871498
0	key	0)	60965.235623
455	removal	4	260.470855
456	S	3	260.721616
0	key	9(	60966.035625
457	removal	3	261.321883
458	S	2	261.571503
0	key	2@	60966.979610
459	removal	2	262.171604
460	S	4	262.421984
0	key	0)	60967.755624
461	removal	4	263.021643
462	S	1	263.271789
0	key	1!	60968.515623
463	removal	1	263.871878
464	S	3	264.121884
0	key	9(	60969.395623
465	removal	3	264.722215
466	S	4	264.971796
0	key	0)	60970.243622
467	removal	4	265.572431
468	S	2	265.822343
0	key	2@	60971.067628
469	removal	2	266.422509
470	S	1	266.672062
0	key	1!	60971.891622
471	removal	1	267.272201
472	S	2	267.522471
0	key	2@	60973.011625
473	removal	2	268.122742
474	S	3	268.372520
0	key	9(	60973.643622
475	removal	3	268.972556
476	S	1	269.222702
0	key	1!	60974.459624
477	removal	1	269.823139
478	S	4	270.072513
0	key	0)	60975.307594
479	removal	4	270.672288
480	S	3	270.922858
0	key	9(	60976.211623
481	removal	3	271.522981
482	S	2	271.773316
0	key	2@	60976.987624
483	removal	2	272.373336
484	S	4	272.623429
0	key	0)	60978.003602
485	removal	4	273.223597
486	S	1	273.473351
0	key	1!	60978.787626
487	removal	1	274.073639
488	S	3	274.323696
0	key	9(	60979.539624
489	removal	3	274.923842
490	S	4	275.173630
0	key	0)	60980.387623
491	removal	4	275.773399
492	S	2	276.023861
0	key	2@	60981.267622
493	removal	2	276.623499
494	S	1	276.873226
0	key	1!	60982.091620
495	removal	1	277.474283
496	S	2	277.723936
0	key	1!	60983.067619
497	removal	2	278.324394
498	S	3	278.573999
0	key	9(	60983.811615
499	removal	3	279.174108
500	S	1	279.423824
0	key	1!	60984.755616
501	removal	1	280.024315
502	S	4	280.274236
0	key	0)	60985.515629
503	removal	4	280.874365
504	S	3	281.124550
0	key	9(	60986.379611
505	removal	3	281.724377
506	S	2	281.974044
0	key	2@	60987.211620
507	removal	2	282.574821
508	S	4	282.824359
0	key	0)	60988.043623
509	removal	4	283.424764
510	S	1	283.675222
0	key	1!	60988.899627
511	removal	1	284.275302
512	S	3	284.524842
0	key	9(	60989.731621
513	removal	3	285.125161
514	S	4	285.374977
0	key	0)	60990.619625
515	removal	4	285.975555
516	S	2	286.225528
0	key	2@	60991.419623
517	removal	2	286.825260
518	S	1	287.075399
0	key	1!	60992.235622
519	removal	1	287.675414
520	S	2	287.925071
0	key	2@	60993.291622
521	removal	2	288.525619
522	S	3	288.775903
0	key	9(	60993.947623
523	removal	3	289.375870
524	S	1	289.625614
0	key	1!	60994.971580
525	removal	1	290.226220
526	S	4	290.476258
0	key	0)	60995.707595
527	removal	4	291.075922
528	S	3	291.326254
0	key	9(	60996.563624
529	removal	3	291.926129
530	S	2	292.176152
0	key	2@	60997.379621
531	removal	2	292.776456
