event	type	value	time
0	start	start	59451.001074
1	cue	R	0.021634
2	R	2	2.021644
3	removal	2	2.621544
0	key	2@	59453.608886
4	R	3	2.872087
0	key	9(	59454.240865
5	removal	3	3.472435
6	R	1	3.721813
0	key	1!	59455.120828
7	removal	1	4.322454
8	R	4	4.572571
0	key	0)	59455.968860
9	removal	4	5.172720
10	R	3	5.422588
0	key	9(	59456.744857
11	removal	3	6.022788
12	R	2	6.272718
0	key	2@	59457.768858
13	removal	2	6.872852
14	R	4	7.122885
0	key	0)	59458.448874
15	removal	4	7.722799
16	R	1	7.972885
0	key	1!	59459.344859
17	removal	1	8.573216
18	R	2	8.822759
0	key	2@	59460.208858
19	removal	2	9.423027
20	R	1	9.673282
0	key	1!	59461.120826
21	removal	1	10.273387
22	R	3	10.523332
0	key	9(	59461.872854
23	removal	3	11.123403
24	R	4	11.373001
0	key	0)	59462.696830
25	removal	4	11.973787
26	R	1	12.223608
0	key	1!	59463.544857
27	removal	1	12.823857
28	R	2	13.073218
0	key	2@	59464.392851
29	removal	2	13.673774
30	R	4	13.924023
0	key	0)	59465.352858
31	removal	4	14.523766
32	R	3	14.774198
0	key	9(	59466.184865
33	removal	3	15.374257
34	R	4	15.623919
0	key	0)	59467.080807
35	removal	4	16.224172
36	R	3	16.473868
0	key	9(	59467.872859
37	removal	3	17.074207
38	R	1	17.324029
0	key	1!	59468.736831
39	removal	1	17.924550
40	R	2	18.174376
0	key	2@	59469.528858
41	removal	2	18.773982
42	R	4	19.024745
0	key	0)	59470.376855
43	removal	4	19.624707
44	R	1	19.874283
0	key	1!	59471.440862
45	removal	1	20.475007
46	R	3	20.724950
0	key	9(	59472.104878
47	removal	3	21.324841
48	R	2	21.574337
0	key	2@	59473.096858
49	removal	2	22.174811
50	rest	+	22.425121
51	cue	T	34.410588
52	T	3	36.410274
0	key	0)	59487.960866
53	removal	3	37.010436
54	T	4	37.260845
55	removal	4	37.861057
0	key	1!	59488.920857
56	T	2	38.111095
57	removal	2	38.710557
0	key	9(	59489.704840
58	T	1	38.961044
0	key	2@	59490.520858
59	removal	1	39.561167
60	T	2	39.811081
0	key	9(	59491.312847
61	removal	2	40.411117
62	T	4	40.660612
0	key	1!	59492.232861
63	removal	4	41.261425
64	T	1	41.511113
0	key	9(	59493.008859
65	removal	1	42.111149
66	T	3	42.361370
67	removal	3	42.961803
0	key	0)	59493.953008
68	T	1	43.211735
69	removal	1	43.811869
0	key	2@	59494.816836
70	T	4	44.061978
71	removal	4	44.661549
0	key	1!	59495.760859
72	T	3	44.912165
73	removal	3	45.511883
0	key	0)	59496.504873
74	T	2	45.761760
75	removal	2	46.362011
0	key	9(	59497.368856
76	T	1	46.611800
0	key	2@	59498.168827
77	removal	1	47.212350
78	T	2	47.462509
79	removal	2	48.061993
0	key	9(	59499.128857
80	T	4	48.312431
81	removal	4	48.912713
0	key	1!	59500.136860
82	T	3	49.162500
83	removal	3	49.762708
0	key	0)	59500.760957
84	T	2	50.012815
85	removal	2	50.612849
0	key	9(	59501.672859
86	T	1	50.862475
87	removal	1	51.462819
0	key	2@	59502.464935
88	T	3	51.713006
0	key	0)	59503.224859
89	removal	3	52.313112
90	T	4	52.562525
91	removal	4	53.162963
92	T	2	53.413447
0	key	1!	59504.448859
0	key	9(	59505.000857
93	removal	2	54.013487
94	T	3	54.263615
0	key	0)	59505.800858
95	removal	3	54.863456
96	T	4	55.113152
97	removal	4	55.713870
0	key	1!	59506.864859
98	T	1	55.963713
99	removal	1	56.563059
0	key	9(	59507.600859
100	T	3	56.813435
101	removal	3	57.414003
0	key	0)	59508.464861
102	T	4	57.664036
103	removal	4	58.263847
0	key	1!	59509.472861
104	T	1	58.513331
0	key	1!	59509.560861
105	removal	1	59.113943
106	T	2	59.363939
0	key	2@	59510.440858
107	removal	2	59.963973
0	key	9(	59511.136859
108	T	1	60.214174
109	removal	1	60.814399
0	key	2@	59512.016845
110	T	3	61.064459
111	removal	3	61.664610
0	key	0)	59512.736866
112	T	4	61.914546
113	removal	4	62.513942
0	key	1!	59513.736859
114	T	2	62.764626
115	removal	2	63.364840
0	key	9(	59514.368902
116	T	4	63.614320
117	removal	4	64.214631
118	T	1	64.464657
0	key	1!	59515.472868
0	key	2@	59516.040858
119	removal	1	65.064453
120	T	2	65.315141
121	removal	2	65.914942
0	key	9(	59517.024830
122	T	3	66.164454
123	removal	3	66.765143
0	key	0)	59517.768860
124	T	1	67.014855
0	key	1!	59518.584860
125	removal	1	67.614788
126	T	3	67.865302
0	key	2@	59518.912826
127	removal	3	68.465635
128	T	2	68.715831
0	key	0)	59519.705001
129	removal	2	69.315419
130	T	4	69.565154
0	key	0)	59521.048859
131	removal	4	70.165584
132	T	3	70.415872
133	removal	3	71.015771
0	key	0)	59522.096861
