trial	type	block	visual_target	motor_target	rt	onset	duration	made_errors
1	R	1	2	2	0.000000	2.011024	0.839109	1
2	R	1	3	3	0.000000	2.860242	0.839838	1
3	R	1	1	1	0.000000	3.709943	0.840059	1
4	R	1	4	4	0.000000	4.559567	0.840468	1
5	R	1	3	3	0.000000	5.409890	0.840208	1
6	R	1	2	2	0.000000	6.259527	0.840545	1
7	R	1	4	4	0.000000	7.109314	0.840851	1
8	R	1	1	1	0.000000	7.958558	0.841509	1
9	R	1	2	2	0.000000	8.808165	0.841965	1
10	R	1	1	1	0.000000	9.658290	0.841718	1
11	R	1	3	3	0.000000	10.507798	0.842327	1
12	R	1	4	4	0.000000	11.357539	0.842476	1
13	R	1	1	1	0.000000	12.206895	0.843163	1
14	R	1	2	2	0.000000	13.056918	0.843203	1
15	R	1	4	4	0.000000	13.906735	0.843308	1
16	R	1	3	3	0.000000	14.756398	0.843658	1
17	R	1	4	4	0.000000	15.606083	0.844001	1
18	R	1	3	3	0.000000	16.456095	0.844064	1
19	R	1	1	1	0.000000	17.305559	0.844471	1
20	R	1	2	2	0.000000	18.154887	0.845136	1
21	R	1	4	4	0.000000	19.005188	0.844861	1
22	R	1	1	1	0.000000	19.854920	0.845176	1
23	R	1	3	3	0.000000	20.704643	0.845464	1
24	R	1	2	2	0.000000	21.554483	0.845521	1
1	T	2	3	4	0.000000	36.416065	0.834038	1
2	T	2	4	1	0.000000	37.265096	0.834914	1
3	T	2	2	3	0.000000	38.115224	0.834897	1
4	T	2	1	2	0.000000	38.964855	0.835194	1
5	T	2	2	3	0.000000	39.814843	0.835316	1
6	T	2	4	1	0.000000	40.664418	0.835716	1
7	T	2	1	2	0.000000	41.514131	0.835986	1
8	T	2	3	4	0.000000	42.363360	0.836703	1
9	T	2	1	2	0.000000	43.213870	0.836264	1
10	T	2	4	1	0.000000	44.062656	0.837502	1
11	T	2	3	4	0.000000	44.912862	0.837303	1
12	T	2	2	3	0.000000	45.763028	0.837019	1
13	T	2	1	2	0.000000	46.612305	0.837770	1
14	T	2	2	3	0.000000	47.462443	0.837616	1
15	T	2	4	1	0.000000	48.311859	0.838234	1
16	T	2	3	4	0.000000	49.161900	0.838184	1
17	T	2	2	3	0.000000	50.010917	0.839113	1
18	T	2	1	2	0.000000	50.860927	0.839147	1
19	T	2	3	4	0.000000	51.710642	0.839430	1
20	T	2	4	1	0.000000	52.560621	0.839451	1
21	T	2	2	3	0.000000	53.410046	0.839991	1
22	T	2	3	4	0.000000	54.259228	0.840860	1
23	T	2	4	1	0.000000	55.109736	0.840429	1
24	T	2	1	2	0.000000	55.958570	0.841545	1
25	T	2	3	4	0.000000	56.808707	0.841473	1
26	T	2	4	1	0.000000	57.658961	0.841212	1
27	T	2	1	2	0.000000	58.508382	0.841672	1
28	T	2	2	3	0.000000	59.357981	0.842025	1
29	T	2	1	2	0.000000	60.207821	0.842190	1
30	T	2	3	4	0.000000	61.056887	0.843179	1
31	T	2	4	1	0.000000	61.906644	0.843437	1
32	T	2	2	3	0.000000	62.756584	0.843495	1
33	T	2	4	1	0.000000	63.606649	0.843382	1
34	T	2	1	2	0.000000	64.456241	0.843852	1
35	T	2	2	3	0.000000	65.305690	0.844393	1
36	T	2	3	4	0.000000	66.156020	0.843997	1
37	T	2	1	2	0.000000	67.005676	0.844409	1
38	T	2	3	4	0.000000	67.855458	0.844581	1
39	T	2	2	3	0.000000	68.704376	0.845652	1
40	T	2	4	1	0.000000	69.554962	0.845166	1
41	T	2	3	4	0.000000	70.404650	0.845456	1
42	T	2	2	3	0.000000	71.254223	0.845787	1
43	T	2	1	2	0.000000	72.103967	0.846066	1
44	T	2	4	1	0.000000	72.953685	0.846355	1
45	T	2	3	4	0.000000	73.803398	0.846674	1
46	T	2	2	3	0.000000	74.669689	0.830417	1
47	T	2	1	2	0.000000	75.519494	0.830664	1
48	T	2	4	1	0.000000	76.368499	0.831672	1
49	T	2	3	4	0.000000	77.218780	0.831351	1
50	T	2	1	2	0.000000	78.068282	0.831818	1
51	T	2	4	1	0.000000	78.918319	0.831791	1
