event	type	value	time
0	start	start	65167.410359
1	cue	R	0.022472
2	R	2	2.021693
0	key	2@	65170.002254
3	removal	2	2.622925
4	R	3	2.872062
0	key	9(	65170.714240
5	removal	3	3.471965
6	R	1	3.722164
0	key	1!	65171.450269
7	removal	1	4.322804
8	R	4	4.572262
0	key	0)	65172.354267
9	removal	4	5.173172
10	R	3	5.423164
0	key	9(	65173.282268
11	removal	3	6.022371
12	R	2	6.273367
0	key	2@	65174.042222
13	removal	2	6.872488
14	R	4	7.123012
0	key	0)	65174.850267
15	removal	4	7.722504
16	R	1	7.973365
0	key	1!	65175.818271
17	removal	1	8.572772
18	R	2	8.823722
0	key	2@	65176.610243
19	removal	2	9.423520
20	R	1	9.672902
0	key	1!	65177.522268
21	removal	1	10.273429
22	R	3	10.522809
0	key	9(	65178.410269
23	removal	3	11.122978
24	R	4	11.373876
0	key	0)	65179.106267
25	removal	4	11.973942
26	R	1	12.223637
0	key	1!	65180.122256
27	removal	1	12.823716
28	R	2	13.073940
0	key	2@	65180.834268
29	removal	2	13.673552
30	R	4	13.923606
0	key	0)	65181.778271
31	removal	4	14.524019
32	R	3	14.773571
0	key	9(	65182.610269
33	removal	3	15.373602
34	R	4	15.624110
0	key	0)	65183.466269
35	removal	4	16.223774
36	R	3	16.474104
0	key	9(	65184.314269
37	removal	3	17.073954
38	R	1	17.323949
0	key	1!	65185.106271
39	removal	1	17.924753
40	R	2	18.175091
0	key	2@	65185.922268
41	removal	2	18.774687
42	R	4	19.025090
0	key	0)	65186.802258
43	removal	4	19.625076
44	R	1	19.874536
0	key	1!	65187.706271
45	removal	1	20.475058
46	R	3	20.724746
0	key	9(	65188.450260
47	removal	3	21.324713
48	R	2	21.574681
0	key	2@	65189.418268
49	removal	2	22.175226
50	rest	+	22.425267
51	cue	T	34.426949
52	T	3	36.427123
53	removal	3	37.027285
0	key	0)	65204.478607
54	T	4	37.277870
0	key	1!	65205.190770
55	removal	4	37.877682
56	T	2	38.127598
0	key	9(	65206.022767
57	removal	2	38.727314
58	T	1	38.978257
0	key	2@	65206.870770
59	removal	1	39.577922
60	T	2	39.827834
0	key	9(	65207.726771
61	removal	2	40.428797
62	T	4	40.677715
0	key	1!	65208.478772
63	removal	4	41.277650
64	T	1	41.527813
0	key	2@	65209.254768
65	removal	1	42.128688
66	T	3	42.378167
0	key	0)	65210.262767
67	removal	3	42.978046
68	T	1	43.228278
69	removal	1	43.828514
0	key	2@	65211.238753
70	T	4	44.078967
0	key	1!	65212.046759
71	removal	4	44.678950
72	T	3	44.928876
0	key	0)	65212.806782
73	removal	3	45.528822
74	T	2	45.778724
75	removal	2	46.379254
0	key	9(	65213.798743
76	T	1	46.628749
0	key	2@	65214.510768
77	removal	1	47.228681
78	T	2	47.479354
0	key	9(	65215.382768
79	removal	2	48.078885
80	T	4	48.328584
0	key	1!	65216.206767
81	removal	4	48.928651
82	T	3	49.179739
0	key	0)	65217.102766
83	removal	3	49.779198
84	T	2	50.029644
0	key	9(	65217.998768
85	removal	2	50.629557
86	T	1	50.879259
0	key	2@	65218.750768
87	removal	1	51.480001
88	T	3	51.729880
0	key	0)	65219.558768
89	removal	3	52.329459
90	T	4	52.579857
0	key	1!	65220.502769
91	removal	4	53.180051
92	T	2	53.429490
0	key	9(	65221.302766
93	removal	2	54.029665
94	T	3	54.279814
0	key	0)	65222.118768
95	removal	3	54.864025
96	T	4	55.114034
0	key	1!	65223.030767
97	removal	4	55.714102
98	T	1	55.964151
0	key	2@	65223.822760
99	removal	1	56.563703
100	T	3	56.814056
0	key	0)	65224.654764
101	removal	3	57.414003
102	T	4	57.664022
0	key	1!	65225.598732
103	removal	4	58.263903
104	T	1	58.514038
0	key	2@	65226.398732
105	removal	1	59.114063
106	T	2	59.364028
0	key	9(	65227.182767
107	removal	2	59.964038
108	T	1	60.214053
0	key	2@	65228.174769
109	removal	1	60.814013
110	T	3	61.064078
0	key	0)	65228.982763
111	removal	3	61.664010
112	T	4	61.914104
0	key	1!	65229.798767
113	removal	4	62.515171
114	T	2	62.764498
0	key	9(	65230.614770
115	removal	2	63.365097
116	T	4	63.615019
0	key	1!	65231.550768
117	removal	4	64.215198
118	T	1	64.465377
0	key	2@	65232.302757
119	removal	1	65.064714
120	T	2	65.315241
0	key	9(	65233.190769
121	removal	2	65.915144
122	T	3	66.165310
0	key	0)	65234.022787
123	removal	3	66.765353
124	T	1	67.015478
0	key	2@	65234.990770
125	removal	1	67.615230
126	T	3	67.865484
0	key	0)	65235.766773
127	removal	3	68.465235
128	T	2	68.715342
0	key	9(	65236.686741
129	removal	2	69.316302
130	T	4	69.565510
0	key	1!	65237.486771
131	removal	4	70.165827
132	T	3	70.416580
0	key	0)	65238.326768
133	removal	3	71.016455
134	T	2	71.266538
0	key	9(	65239.190769
135	removal	2	71.866390
136	T	1	72.116723
