trial	type	block	visual_target	motor_target	rt	onset	duration	made_errors
1	R	1	2	2	0.485156	2.018505	0.831532	0
2	R	1	3	3	0.331185	2.868487	0.831593	0
3	R	1	1	1	0.304745	3.718924	0.831109	0
4	R	1	4	4	0.358865	4.568806	0.831272	0
5	R	1	3	3	0.340855	5.418816	0.831196	0
6	R	1	2	2	0.274954	6.268724	0.831432	0
7	R	1	4	4	0.288856	7.118816	0.831351	0
8	R	1	1	1	0.518386	7.969244	0.830902	0
9	R	1	2	2	0.340337	8.819317	0.830736	0
10	R	1	1	1	0.265798	9.669872	0.830220	0
11	R	1	3	3	0.271585	10.520084	0.829981	0
12	R	1	4	4	0.261614	11.370053	0.830119	0
13	R	1	1	1	0.331917	12.219762	0.830358	0
14	R	1	2	2	0.289949	13.069720	0.830314	0
15	R	1	4	4	0.343607	13.920037	0.829975	0
16	R	1	3	3	0.341494	14.770175	0.829852	0
17	R	1	4	4	0.298913	15.620758	0.829285	0
18	R	1	3	3	0.352926	16.470746	0.829340	0
19	R	1	1	1	0.262713	17.320957	0.829113	0
20	R	1	2	2	0.324270	18.171398	0.828737	0
21	R	1	4	4	0.314213	19.021458	0.828620	0
22	R	1	1	1	0.256614	19.871056	0.829108	0
23	R	1	3	3	0.262805	20.720850	0.829230	0
24	R	1	2	2	0.292611	21.571024	0.829114	0
1	T	2	3	4	0.599549	36.424171	0.825952	0
2	T	2	4	1	0.510310	37.273361	0.826775	0
3	T	2	2	3	0.363571	38.124099	0.826007	0
4	T	2	1	2	0.353255	38.974386	0.825745	0
5	T	2	2	3	0.439130	39.824542	0.825543	0
6	T	2	4	1	0.565338	40.674345	0.825749	0
7	T	2	1	2	0.362565	41.525107	0.824959	0
8	T	2	3	4	0.456682	42.374958	0.825168	0
9	T	2	1	2	0.366862	43.224809	0.825321	0
10	T	2	4	1	0.724626	44.075044	0.825150	1
11	T	2	3	4	0.506754	44.924917	0.825238	0
12	T	2	2	3	0.520471	45.775198	0.824853	0
13	T	2	1	2	0.390689	46.624980	0.825048	0
14	T	2	2	3	0.444567	47.475075	0.824960	0
15	T	2	4	1	0.465446	48.326239	0.823924	0
16	T	2	3	4	0.472229	49.175444	0.824577	0
17	T	2	2	3	0.413491	50.026179	0.823878	0
18	T	2	1	2	0.523350	50.876320	0.823777	0
19	T	2	3	4	0.409268	51.726369	0.823764	0
20	T	2	4	1	0.463184	52.576485	0.823659	0
21	T	2	2	3	0.348969	53.426702	0.823306	0
22	T	2	3	4	0.379008	54.276662	0.823366	0
23	T	2	4	1	0.504553	55.127086	0.822977	0
24	T	2	1	2	0.390978	55.976692	0.823437	0
25	T	2	3	4	0.396843	56.826827	0.823216	0
26	T	2	4	1	0.491079	57.676591	0.823485	0
27	T	2	1	2	0.432923	58.526747	0.823260	0
28	T	2	2	3	0.373935	59.377735	0.822298	0
29	T	2	1	2	0.539995	60.227672	0.822343	1
30	T	2	3	4	0.490499	61.077158	0.822941	0
31	T	2	4	1	0.615652	61.927984	0.822035	0
32	T	2	2	3	0.509792	62.777878	0.822139	0
33	T	2	4	1	0.555632	63.628040	0.822093	0
34	T	2	1	2	0.449431	64.478245	0.821833	0
35	T	2	2	3	0.448036	65.327636	0.822403	0
36	T	2	3	4	0.405761	66.177911	0.822187	0
37	T	2	1	2	0.443670	67.027997	0.822196	0
38	T	2	3	4	0.377538	67.878122	0.821961	0
39	T	2	2	3	0.487492	68.728179	0.821862	0
40	T	2	4	1	0.541071	69.578582	0.821600	0
41	T	2	3	4	0.450492	70.429153	0.820917	0
42	T	2	2	3	0.416542	71.279134	0.821037	0
43	T	2	1	2	0.389657	72.130013	0.820053	0
44	T	2	4	1	0.500011	72.979649	0.820398	0
45	T	2	3	4	0.353688	73.829984	0.820120	0
46	T	2	2	3	0.512261	74.679411	0.820763	0
47	T	2	1	2	0.358008	75.529662	0.820376	0
48	T	2	4	1	0.435831	76.379841	0.820313	0
49	T	2	3	4	0.521151	77.230502	0.819499	0
50	T	2	1	2	0.391252	78.080426	0.819668	0
51	T	2	4	1	0.420553	78.931120	0.818991	0
52	T	2	2	3	0.404381	79.763290	0.836892	0
53	T	2	3	4	0.338182	80.613462	0.836595	0
54	T	2	2	3	0.432180	81.463476	0.836589	0
55	T	2	1	2	0.350486	82.313184	0.836870	0
56	T	2	4	1	0.428293	83.163346	0.836777	0
57	T	2	2	3	0.314261	84.013382	0.836706	0
58	T	2	1	2	0.479645	84.864025	0.836109	0
59	T	2	4	1	0.557825	85.713844	0.836192	0
60	T	2	3	4	0.402254	86.565416	0.834625	0
61	T	2	4	1	0.000000	87.415223	0.834782	1
62	T	2	2	3	0.430323	88.265345	0.834659	1
63	T	2	3	4	0.444128	89.115547	0.834506	0
64	T	2	1	2	0.370284	89.965361	0.834709	0
65	T	2	3	4	0.384670	90.814969	0.835113	0
66	T	2	2	3	0.486316	91.665355	0.834714	0
67	T	2	4	1	0.668378	92.515290	0.834716	1
68	T	2	1	2	0.514275	93.365388	0.834648	0
69	T	2	3	4	0.342965	94.216704	0.833303	0
70	T	2	2	3	0.469304	95.066398	0.833698	0
71	T	2	1	2	0.451106	95.916565	0.833466	0
72	T	2	4	1	0.473377	96.766292	0.833835	0
1	R	3	4	4	0.461386	111.618259	0.831775	0
2	R	3	1	1	0.226981	112.468698	0.831459	0
3	R	3	3	3	0.281134	113.318546	0.831544	0
4	R	3	2	2	0.270367	114.169276	0.830755	0
5	R	3	1	1	0.260219	115.019453	0.830710	0
6	R	3	4	4	0.265854	115.869816	0.830317	0
7	R	3	2	2	0.248276	116.719402	0.830705	0
8	R	3	3	3	0.301933	117.569750	0.830267	0
